kaynak_satir,school,G1,G3,fark_G3_G1
1,GP,0,11,11
2,GP,9,11,2
3,GP,12,12,0
4,GP,14,14,0
5,GP,11,13,2
6,GP,12,13,1
7,GP,13,13,0
8,GP,10,13,3
9,GP,15,17,2
10,GP,12,13,1
11,GP,14,14,0
12,GP,10,13,3
13,GP,12,12,0
14,GP,12,13,1
15,GP,14,15,1
16,GP,17,17,0
17,GP,13,14,1
18,GP,13,14,1
19,GP,8,7,-1
20,GP,12,12,0
21,GP,12,14,2
22,GP,11,12,1
23,GP,12,14,2
24,GP,10,10,0
25,GP,10,10,0
26,GP,10,12,2
27,GP,11,12,1
28,GP,11,11,0
29,GP,12,13,1
30,GP,12,12,0
31,GP,10,11,1
32,GP,15,15,0
33,GP,13,15,2
34,GP,13,12,-1
35,GP,12,12,0
36,GP,11,11,0
37,GP,14,14,0
38,GP,13,13,0
39,GP,11,12,1
40,GP,14,12,-2
41,GP,11,10,-1
42,GP,10,11,1
43,GP,14,15,1
44,GP,9,10,1
45,GP,10,11,1
46,GP,10,11,1
47,GP,13,13,0
48,GP,17,17,0
49,GP,11,13,2
50,GP,13,12,-1
51,GP,14,13,-1
52,GP,16,16,0
53,GP,10,9,-1
54,GP,13,12,-1
55,GP,13,13,0
56,GP,12,12,0
57,GP,15,15,0
58,GP,15,16,1
59,GP,14,14,0
60,GP,16,16,0
61,GP,17,16,-1
62,GP,10,16,6
63,GP,13,10,-3
64,GP,14,13,-1
65,GP,13,12,-1
66,GP,16,16,0
67,GP,11,12,1
68,GP,10,10,0
69,GP,11,11,0
70,GP,15,15,0
71,GP,13,11,-2
72,GP,11,10,-1
73,GP,13,11,-2
74,GP,13,14,1
75,GP,11,11,0
76,GP,11,11,0
77,GP,12,11,-1
78,GP,13,13,0
79,GP,9,10,1
80,GP,12,11,-1
