kaynak_satir,kaynak_kayit,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,A1_t,C4_t,C5_t,A_n,A_ort5,A_ort4,A_top5,C_n,C_ort5,C_ort4,C_top5
1,61617,2,4.0,3,4,4,2.0,3,3.0,4,4,5,3,3,5,4.0,4.0,20.0,5,2.8,2.8,14.0
2,61618,2,4.0,5,2,5,5.0,4,4.0,3,4,5,4,3,5,4.2,4.2,21.0,5,4.0,4.0,20.0
3,61620,5,4.0,5,4,4,4.0,5,4.0,2,5,2,5,2,5,3.8,3.8,19.0,5,4.0,4.0,20.0
4,61621,4,4.0,6,5,5,4.0,4,3.0,5,5,3,2,2,5,4.6,4.6,23.0,5,3.0,3.0,15.0
5,61622,2,3.0,3,4,5,4.0,4,5.0,3,2,5,4,5,5,4.0,4.0,20.0,5,4.4,4.4,22.0
6,61623,6,6.0,5,6,5,6.0,6,6.0,1,3,1,6,4,5,4.6,4.6,23.0,5,5.6,5.6,28.0
7,61624,2,5.0,5,3,5,5.0,4,4.0,2,3,5,5,4,5,4.6,4.6,23.0,5,4.4,4.4,22.0
8,61629,4,3.0,1,5,1,3.0,2,4.0,2,4,3,5,3,5,2.6,2.6,13.0,5,3.4,3.4,17.0
9,61630,4,3.0,6,3,3,6.0,6,3.0,4,5,3,3,2,5,3.6,3.6,18.0,5,4.0,4.0,20.0
10,61633,2,5.0,6,6,5,6.0,5,6.0,2,1,5,5,6,5,5.4,5.4,27.0,5,5.6,5.6,28.0
11,61634,4,4.0,5,6,5,4.0,3,5.0,3,2,3,4,5,5,4.6,4.6,23.0,5,4.2,4.2,21.0
12,61636,2,5.0,5,5,5,5.0,4,5.0,4,5,5,3,2,5,5.0,5.0,25.0,5,3.8,3.8,19.0
13,61637,5,5.0,5,6,4,5.0,4,3.0,2,2,2,5,5,5,4.4,4.4,22.0,5,4.4,4.4,22.0
14,61639,5,5.0,5,6,6,4.0,4,4.0,2,1,2,5,6,5,4.8,4.8,24.0,5,4.6,4.6,23.0
15,61640,4,5.0,2,2,1,5.0,5,5.0,2,2,3,5,5,5,2.6,2.6,13.0,5,5.0,5.0,25.0
16,61643,4,3.0,6,6,3,5.0,5,5.0,3,5,3,4,2,5,4.2,4.2,21.0,5,4.2,4.2,21.0
17,61650,4,6.0,6,2,5,4.0,4,4.0,4,4,3,3,3,5,4.4,4.4,22.0,5,3.6,3.6,18.0
18,61651,5,5.0,5,4,5,5.0,5,5.0,4,3,2,3,4,5,4.2,4.2,21.0,5,4.4,4.4,22.0
19,61653,4,4.0,5,4,3,5.0,4,5.0,4,6,3,3,1,5,3.8,3.8,19.0,5,3.6,3.6,18.0
20,61654,4,4.0,6,5,5,1.0,1,1.0,5,6,3,2,1,5,4.6,4.6,23.0,5,1.2,1.2,6.0
21,61656,5,4.0,2,1,2,4.0,6,5.0,5,4,2,2,3,5,2.2,2.2,11.0,5,4.0,4.0,20.0
22,61659,1,6.0,6,1,5,5.0,4,4.0,2,3,6,5,4,5,4.8,4.8,24.0,5,4.4,4.4,22.0
23,61661,1,5.0,6,5,6,4.0,3,2.0,4,5,6,3,2,5,5.6,5.6,28.0,5,2.8,2.8,14.0
24,61664,2,6.0,5,6,5,3.0,5,6.0,3,6,5,4,1,5,5.4,5.4,27.0,5,3.8,3.8,19.0
25,61667,4,5.0,5,6,5,5.0,5,4.0,1,1,3,6,6,5,4.8,4.8,24.0,5,5.2,5.2,26.0
26,61668,1,6.0,6,1,6,5.0,2,5.0,1,1,6,6,6,5,5.0,5.0,25.0,5,4.8,4.8,24.0
27,61669,2,4.0,4,4,3,6.0,5,6.0,1,1,5,6,6,5,4.0,4.0,20.0,5,5.8,5.8,29.0
28,61670,2,5.0,6,6,6,4.0,5,4.0,3,4,5,4,3,5,5.6,5.6,28.0,5,4.0,4.0,20.0
29,61672,2,5.0,1,3,5,5.0,4,5.0,2,5,5,5,2,5,3.8,3.8,19.0,5,4.2,4.2,21.0
