kaynak_satir,kaynak_kayit,madde,yanit
1,61617,A1,2.0
2,61618,A1,2.0
3,61620,A1,5.0
4,61621,A1,4.0
5,61622,A1,2.0
6,61623,A1,6.0
7,61624,A1,2.0
8,61629,A1,4.0
9,61630,A1,4.0
10,61633,A1,2.0
11,61634,A1,4.0
12,61636,A1,2.0
13,61637,A1,5.0
14,61639,A1,5.0
15,61640,A1,4.0
16,61643,A1,4.0
17,61650,A1,4.0
18,61651,A1,5.0
19,61653,A1,4.0
20,61654,A1,4.0
21,61656,A1,5.0
22,61659,A1,1.0
23,61661,A1,1.0
24,61664,A1,2.0
25,61667,A1,4.0
26,61668,A1,1.0
27,61669,A1,2.0
28,61670,A1,2.0
29,61672,A1,2.0
30,61673,A1,4.0
31,61678,A1,1.0
32,61679,A1,2.0
33,61682,A1,1.0
34,61683,A1,2.0
35,61684,A1,4.0
36,61685,A1,5.0
37,61686,A1,1.0
38,61687,A1,1.0
39,61688,A1,1.0
40,61691,A1,1.0
41,61692,A1,1.0
42,61693,A1,5.0
43,61696,A1,1.0
44,61698,A1,5.0
45,61700,A1,2.0
46,61701,A1,1.0
47,61702,A1,5.0
48,61703,A1,2.0
49,61713,A1,1.0
50,61715,A1,1.0
51,61716,A1,1.0
52,61723,A1,1.0
53,61724,A1,3.0
54,61725,A1,4.0
55,61728,A1,1.0
56,61730,A1,1.0
57,61731,A1,1.0
58,61732,A1,3.0
59,61740,A1,1.0
60,61742,A1,3.0
61,61748,A1,2.0
62,61749,A1,2.0
63,61754,A1,1.0
64,61756,A1,4.0
65,61757,A1,2.0
66,61759,A1,2.0
67,61761,A1,1.0
68,61762,A1,4.0
69,61763,A1,2.0
70,61764,A1,1.0
71,61771,A1,4.0
72,61772,A1,2.0
73,61773,A1,4.0
74,61775,A1,1.0
75,61776,A1,3.0
76,61777,A1,2.0
77,61778,A1,2.0
78,61780,A1,5.0
79,61782,A1,1.0
80,61783,A1,2.0
81,61784,A1,1.0
82,61788,A1,1.0
83,61789,A1,1.0
84,61793,A1,1.0
85,61794,A1,1.0
86,61797,A1,4.0
87,61798,A1,1.0
88,61801,A1,1.0
89,61808,A1,1.0
90,61812,A1,3.0
91,61813,A1,1.0
92,61816,A1,1.0
93,61818,A1,2.0
94,61819,A1,1.0
95,61821,A1,2.0
96,61822,A1,2.0
97,61825,A1,3.0
98,61826,A1,1.0
99,61829,A1,4.0
100,61831,A1,2.0
1,61617,A2,4.0
2,61618,A2,4.0
3,61620,A2,4.0
4,61621,A2,4.0
5,61622,A2,3.0
6,61623,A2,6.0
7,61624,A2,5.0
8,61629,A2,3.0
9,61630,A2,3.0
10,61633,A2,5.0
11,61634,A2,4.0
12,61636,A2,5.0
13,61637,A2,5.0
14,61639,A2,5.0
15,61640,A2,5.0
16,61643,A2,3.0
17,61650,A2,6.0
18,61651,A2,5.0
19,61653,A2,4.0
20,61654,A2,4.0
21,61656,A2,4.0
22,61659,A2,6.0
23,61661,A2,5.0
24,61664,A2,6.0
25,61667,A2,5.0
26,61668,A2,6.0
27,61669,A2,4.0
28,61670,A2,5.0
29,61672,A2,5.0
30,61673,A2,5.0
31,61678,A2,6.0
32,61679,A2,5.0
33,61682,A2,5.0
34,61683,A2,4.0
35,61684,A2,4.0
36,61685,A2,3.0
37,61686,A2,6.0
38,61687,A2,4.0
39,61688,A2,6.0
40,61691,A2,5.0
41,61692,A2,5.0
42,61693,A2,4.0
43,61696,A2,5.0
44,61698,A2,6.0
45,61700,A2,6.0
46,61701,A2,6.0
47,61702,A2,5.0
48,61703,A2,6.0
49,61713,A2,5.0
50,61715,A2,6.0
51,61716,A2,6.0
52,61723,A2,5.0
53,61724,A2,6.0
54,61725,A2,3.0
55,61728,A2,6.0
56,61730,A2,4.0
57,61731,A2,4.0
58,61732,A2,4.0
59,61740,A2,6.0
60,61742,A2,3.0
61,61748,A2,3.0
62,61749,A2,4.0
63,61754,A2,4.0
