alan,tur,gecerli,eksik,ters,kaynak
A1,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,True,psych/bfi anahtari
A2,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,False,psych/bfi anahtari
A3,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,False,psych/bfi anahtari
A4,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,False,psych/bfi anahtari
A5,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,False,psych/bfi anahtari
C1,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,False,psych/bfi anahtari
C2,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,False,psych/bfi anahtari
C3,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,False,psych/bfi anahtari
C4,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,True,psych/bfi anahtari
C5,ordinal tamsayi,"1,2,3,4,5,6",bos hucre,True,psych/bfi anahtari
