davet_grup,beklenen_tam_grup,iki_grupta_en_az_64
64,54.4000000000,0.0000000009
65,55.2500000000,0.0000001038
66,56.1000000000,0.0000030440
67,56.9500000000,0.0000414609
68,57.8000000000,0.0003324585
69,58.6500000000,0.0017887902
70,59.5000000000,0.0070222230
71,60.3500000000,0.0213322458
72,61.2000000000,0.0524113034
73,62.0500000000,0.1078403741
74,62.9000000000,0.1912262857
75,63.7500000000,0.2994147163
76,64.6000000000,0.4227774396
77,65.4500000000,0.5484271974
78,66.3000000000,0.6643775773
79,67.1500000000,0.7625320610
80,68.0000000000,0.8395849713
81,68.8500000000,0.8962077361
82,69.7000000000,0.9354725542
83,70.5500000000,0.9613402265
84,71.4000000000,0.9776210102
85,72.2500000000,0.9874550996
86,73.1000000000,0.9931769272
87,73.9500000000,0.9963933616
88,74.8000000000,0.9981444802
89,75.6500000000,0.9990696911
90,76.5000000000,0.9995449178
