n,hedef,onceki_guc,guc,senaryo,effect,alpha,ratio,paired,sided,n2,toplam_kisi
64,0.8000000000,0.7951683381,0.8014595579,ana,0.5000000000,0.0500000000,1,False,2,64,128
394,0.8000000000,0.7995942412,0.8005931284,d_02,0.2000000000,0.0500000000,1,False,2,394,788
176,0.8000000000,0.7991334902,0.8013794435,d_03,0.3000000000,0.0500000000,1,False,2,176,352
26,0.8000000000,0.7914512900,0.8074866151,d_08,0.8000000000,0.0500000000,1,False,2,26,52
86,0.9000000000,0.8998940794,0.9032299800,guc_09,0.5000000000,0.0500000000,1,False,2,86,172
96,0.8000000000,0.7994688513,0.8045473255,alfa_01,0.5000000000,0.0100000000,1,False,2,96,192
86,0.8000000000,0.7989188044,0.8042911718,uc_bonferroni,0.5000000000,0.0166666667,1,False,2,86,172
51,0.8000000000,0.7989361642,0.8058985991,tek_yon,0.5000000000,0.0500000000,1,False,1,51,102
48,0.8000000000,0.7937386746,0.8021395497,ikiye_bir,0.5000000000,0.0500000000,2,False,2,96,144
34,0.8000000000,0.7953658415,0.8077775013,esli_dz_05,0.5000000000,0.0500000000,1,True,2,0,34
