cikarilan_kaynak_satir,n,pearson_r,spearman_r
1,59,0.8658335308350087,0.8266999983114512
2,59,0.7424519803523792,0.8259824201133059
3,59,0.7473538507938298,0.8336541705427768
4,59,0.7447292138247041,0.8259939707239754
5,59,0.7486919289823584,0.8398207450914005
6,59,0.7467721081433807,0.8341016064950183
7,59,0.7468272896883282,0.832550263990526
8,59,0.7526210500964399,0.8491518241903192
9,59,0.7424139435985561,0.822959604239705
10,59,0.7467721081433807,0.8341016064950183
11,59,0.7447292138247041,0.8259939707239754
12,59,0.75262105009644,0.8491518241903192
13,59,0.7473538507938298,0.8336541705427768
14,59,0.7467721081433807,0.8341016064950183
15,59,0.74384801267206,0.8246125529294636
16,59,0.7278460689793591,0.822255639181555
17,59,0.7461032549957124,0.8295628094316191
18,59,0.7461032549957124,0.8295628094316191
19,59,0.7372789890022681,0.8226803713993102
20,59,0.7473538507938298,0.8336541705427768
21,59,0.7494471617909277,0.8378619188123394
22,59,0.745880505191138,0.8315053059669534
23,59,0.7494471617909277,0.8378619188123394
24,59,0.7437100609603834,0.8265376998177684
25,59,0.7437100609603834,0.8265376998177684
26,59,0.746389085510589,0.8336759870502222
27,59,0.745880505191138,0.8315053059669534
28,59,0.7463280655094303,0.8300735458263307
29,59,0.7467721081433807,0.8341016064950183
30,59,0.7473538507938298,0.8336541705427768
31,59,0.7433948243332665,0.8264589213983543
32,59,0.7409796169638696,0.8230679516410925
33,59,0.7486821271397238,0.8315574722255071
34,59,0.7508019415254216,0.8407467506643118
35,59,0.7473538507938298,0.8336541705427768
36,59,0.7463280655094303,0.8300735458263307
37,59,0.7447292138247041,0.8259939707239754
38,59,0.7468272896883282,0.832550263990526
39,59,0.745880505191138,0.8315053059669534
40,59,0.7562648961428524,0.8498310283989721
41,59,0.7501530987880366,0.8332591771824125
42,59,0.7433948243332665,0.8264589213983543
43,59,0.7438480126720599,0.8246125529294636
44,59,0.7392185935283546,0.8240196251497759
45,59,0.7433948243332665,0.8264589213983543
46,59,0.7433948243332665,0.8264589213983543
47,59,0.7468272896883281,0.832550263990526
48,59,0.727846068979359,0.822255639181555
49,59,0.7486919289823584,0.8398207450914005
50,59,0.7508019415254215,0.8407467506643118
51,59,0.7488705247730422,0.8344853145600896
52,59,0.7354296824627788,0.8224657811849967
53,59,0.7475485087301508,0.8265223891289327
54,59,0.7508019415254215,0.8407467506643118
55,59,0.746827289688328,0.832550263990526
56,59,0.7473538507938297,0.8336541705427768
57,59,0.7409796169638696,0.8230679516410925
58,59,0.7399182660354562,0.8225393516650902
59,59,0.744729213824704,0.8259939707239754
60,59,0.7354296824627792,0.8224657811849967
