kaynak_satir,school,G1,G3,sira_G1,sira_G3
1,GP,0,11,1.0,10.5
2,GP,9,11,3.5,10.5
3,GP,12,12,28.5,21.5
4,GP,14,14,48.5,45.5
5,GP,11,13,18.5,35.0
6,GP,12,13,28.5,35.0
7,GP,13,13,39.5,35.0
8,GP,10,13,9.5,35.0
9,GP,15,17,54.5,59.0
10,GP,12,13,28.5,35.0
11,GP,14,14,48.5,45.5
12,GP,10,13,9.5,35.0
13,GP,12,12,28.5,21.5
14,GP,12,13,28.5,35.0
15,GP,14,15,48.5,52.0
16,GP,17,17,59.5,59.0
17,GP,13,14,39.5,45.5
18,GP,13,14,39.5,45.5
19,GP,8,7,2.0,1.0
20,GP,12,12,28.5,21.5
21,GP,12,14,28.5,45.5
22,GP,11,12,18.5,21.5
23,GP,12,14,28.5,45.5
24,GP,10,10,9.5,4.5
25,GP,10,10,9.5,4.5
26,GP,10,12,9.5,21.5
27,GP,11,12,18.5,21.5
28,GP,11,11,18.5,10.5
29,GP,12,13,28.5,35.0
30,GP,12,12,28.5,21.5
31,GP,10,11,9.5,10.5
32,GP,15,15,54.5,52.0
33,GP,13,15,39.5,52.0
34,GP,13,12,39.5,21.5
35,GP,12,12,28.5,21.5
36,GP,11,11,18.5,10.5
37,GP,14,14,48.5,45.5
38,GP,13,13,39.5,35.0
39,GP,11,12,18.5,21.5
40,GP,14,12,48.5,21.5
41,GP,11,10,18.5,4.5
42,GP,10,11,9.5,10.5
43,GP,14,15,48.5,52.0
44,GP,9,10,3.5,4.5
45,GP,10,11,9.5,10.5
46,GP,10,11,9.5,10.5
47,GP,13,13,39.5,35.0
48,GP,17,17,59.5,59.0
49,GP,11,13,18.5,35.0
50,GP,13,12,39.5,21.5
51,GP,14,13,48.5,35.0
52,GP,16,16,57.5,56.0
53,GP,10,9,9.5,2.0
54,GP,13,12,39.5,21.5
55,GP,13,13,39.5,35.0
56,GP,12,12,28.5,21.5
57,GP,15,15,54.5,52.0
58,GP,15,16,54.5,56.0
59,GP,14,14,48.5,45.5
60,GP,16,16,57.5,56.0
