kaynak_satir,school,G1,G3
1,GP,0,11
2,GP,9,11
3,GP,12,12
4,GP,14,14
5,GP,11,13
6,GP,12,13
7,GP,13,13
8,GP,10,13
9,GP,15,17
10,GP,12,13
11,GP,14,14
12,GP,10,13
13,GP,12,12
14,GP,12,13
15,GP,14,15
16,GP,17,17
17,GP,13,14
18,GP,13,14
19,GP,8,7
20,GP,12,12
21,GP,12,14
22,GP,11,12
23,GP,12,14
24,GP,10,10
25,GP,10,10
26,GP,10,12
27,GP,11,12
28,GP,11,11
29,GP,12,13
30,GP,12,12
31,GP,10,11
32,GP,15,15
33,GP,13,15
34,GP,13,12
35,GP,12,12
36,GP,11,11
37,GP,14,14
38,GP,13,13
39,GP,11,12
40,GP,14,12
41,GP,11,10
42,GP,10,11
43,GP,14,15
44,GP,9,10
45,GP,10,11
46,GP,10,11
47,GP,13,13
48,GP,17,17
49,GP,11,13
50,GP,13,12
51,GP,14,13
52,GP,16,16
53,GP,10,9
54,GP,13,12
55,GP,13,13
56,GP,12,12
57,GP,15,15
58,GP,15,16
59,GP,14,14
60,GP,16,16
