kaynak_satir,school,G1,G3,tahmin,artik,kaldirac,cook
1,GP,0,11,5.741221241999659,5.258778758000341,0.39655768898114496,8.426851702911835
2,GP,9,11,10.979155855388349,0.02084414461165096,0.04160179899671346,5.506161923544181e-06
3,GP,12,12,12.725134059851245,-0.7251340598512446,0.016692613734647994,0.0025400545430023505
4,GP,14,14,13.889119529493176,0.11088047050682448,0.02603355820792251,9.440964315052491e-05
5,GP,11,13,12.143141325030278,0.8568586749697218,0.019806261892406182,0.004235042352688798
6,GP,12,13,12.725134059851245,0.2748659401487554,0.016692613734647994,0.0003649625386488814
7,GP,13,13,13.307126794672211,-0.30712679467221093,0.018768379173153438,0.0005144933966207977
8,GP,10,13,11.561148590209314,1.4388514097906864,0.028109323646428,0.017238844401164282
9,GP,15,17,14.471112264314142,2.528887735685858,0.038488150838955223,0.07449678957161313
10,GP,12,13,12.725134059851245,0.2748659401487554,0.016692613734647994,0.0003649625386488814
11,GP,14,14,13.889119529493176,0.11088047050682448,0.02603355820792251,9.440964315052491e-05
12,GP,10,13,11.561148590209314,1.4388514097906864,0.028109323646428,0.017238844401164282
13,GP,12,12,12.725134059851245,-0.7251340598512446,0.016692613734647994,0.0025400545430023505
14,GP,12,13,12.725134059851245,0.2748659401487554,0.016692613734647994,0.0003649625386488814
15,GP,14,15,13.889119529493176,1.1108804705068245,0.02603355820792251,0.009476345786795924
16,GP,17,17,15.635097733956071,1.364902266043929,0.07896557688981154,0.04852325097991814
17,GP,13,14,13.307126794672211,0.6928732053277891,0.018768379173153438,0.0026184960551277198
18,GP,13,14,13.307126794672211,0.6928732053277891,0.018768379173153438,0.0026184960551277198
19,GP,8,7,10.397163120567383,-3.3971631205673827,0.06028368794326254,0.22044475766882787
20,GP,12,12,12.725134059851245,-0.7251340598512446,0.016692613734647994,0.0025400545430023505
21,GP,12,14,12.725134059851245,1.2748659401487554,0.016692613734647994,0.00785118968694003
22,GP,11,12,12.143141325030278,-0.1431413250302782,0.019806261892406182,0.00011818692359254672
23,GP,12,14,12.725134059851245,1.2748659401487554,0.016692613734647994,0.00785118968694003
24,GP,10,10,11.561148590209314,-1.5611485902093136,0.028109323646428,0.02029386368228349
25,GP,10,10,11.561148590209314,-1.5611485902093136,0.028109323646428,0.02029386368228349
26,GP,10,12,11.561148590209314,0.4388514097906864,0.028109323646428,0.0016036561425387434
27,GP,11,12,12.143141325030278,-0.1431413250302782,0.019806261892406182,0.00011818692359254672
28,GP,11,11,12.143141325030278,-1.1431413250302782,0.019806261892406182,0.007537706305744899
29,GP,12,13,12.725134059851245,0.2748659401487554,0.016692613734647994,0.0003649625386488814
30,GP,12,12,12.725134059851245,-0.7251340598512446,0.016692613734647994,0.0025400545430023505
31,GP,10,11,11.561148590209314,-0.5611485902093136,0.028109323646428,0.0026219959029118115
32,GP,15,15,14.471112264314142,0.5288877356858581,0.038488150838955223,0.0032584078959077413
33,GP,13,15,13.307126794672211,1.692873205327789,0.018768379173153438,0.01563123357357103
34,GP,13,12,13.307126794672211,-1.307126794672211,0.018768379173153438,0.009319225598050264
35,GP,12,12,12.725134059851245,-0.7251340598512446,0.016692613734647994,0.0025400545430023505
36,GP,11,11,12.143141325030278,-1.1431413250302782,0.019806261892406182,0.007537706305744899
37,GP,14,14,13.889119529493176,0.11088047050682448,0.02603355820792251,9.440964315052491e-05
38,GP,13,13,13.307126794672211,-0.30712679467221093,0.018768379173153438,0.0005144933966207977
39,GP,11,12,12.143141325030278,-0.1431413250302782,0.019806261892406182,0.00011818692359254672
40,GP,14,12,13.889119529493176,-1.8891195294931755,0.02603355820792251,0.027404703726876107
41,GP,11,10,12.143141325030278,-2.143141325030278,0.019806261892406182,0.026493600499145852
42,GP,10,11,11.561148590209314,-0.5611485902093136,0.028109323646428,0.0026219959029118115
43,GP,14,15,13.889119529493176,1.1108804705068245,0.02603355820792251,0.009476345786795924
44,GP,9,10,10.979155855388349,-0.979155855388349,0.04160179899671346,0.012150229312240263
45,GP,10,11,11.561148590209314,-0.5611485902093136,0.028109323646428,0.0026219959029118115
46,GP,10,11,11.561148590209314,-0.5611485902093136,0.028109323646428,0.0026219959029118115
47,GP,13,13,13.307126794672211,-0.30712679467221093,0.018768379173153438,0.0005144933966207977
48,GP,17,17,15.635097733956071,1.364902266043929,0.07896557688981154,0.04852325097991814
49,GP,11,13,12.143141325030278,0.8568586749697218,0.019806261892406182,0.004235042352688798
50,GP,13,12,13.307126794672211,-1.307126794672211,0.018768379173153438,0.009319225598050264
51,GP,14,13,13.889119529493176,-0.8891195294931755,0.02603355820792251,0.0060705289565105855
52,GP,16,16,15.053104999135106,0.9468950008648935,0.05613215706625156,0.015807154238476468
53,GP,10,9,11.561148590209314,-2.5611485902093136,0.028109323646428,0.05461925948065378
54,GP,13,12,13.307126794672211,-1.307126794672211,0.018768379173153438,0.009319225598050264
55,GP,13,13,13.307126794672211,-0.30712679467221093,0.018768379173153438,0.0005144933966207977
56,GP,12,12,12.725134059851245,-0.7251340598512446,0.016692613734647994,0.0025400545430023505
57,GP,15,15,14.471112264314142,0.5288877356858581,0.038488150838955223,0.0032584078959077413
58,GP,15,16,14.471112264314142,1.5288877356858581,0.038488150838955223,0.027228872013523538
59,GP,14,14,13.889119529493176,0.11088047050682448,0.02603355820792251,9.440964315052491e-05
60,GP,16,16,15.053104999135106,0.9468950008648935,0.05613215706625156,0.015807154238476468
