kaynak_satir,school,age,G1,G3,age_c,hedef14,G3_tahmin,hedef14_olasilik
61,GP,16,17,16,0,1,16.170560894786963,0.9972626694472517
62,GP,16,10,16,0,1,11.69268656481459,0.0034416352391042327
63,GP,16,13,10,0,0,13.611775563374177,0.3293037332349694
64,GP,16,14,13,0,0,14.251471896227375,0.7193027920815559
65,GP,15,13,12,-1,0,13.106344502428225,0.4033874614251766
66,GP,16,16,16,0,1,15.530864561933765,0.9858764759269797
67,GP,15,11,12,-1,0,11.826951836721836,0.024220109699484436
68,GP,16,10,10,0,0,11.69268656481459,0.0034416352391042327
69,GP,15,11,11,-1,0,11.826951836721836,0.024220109699484436
70,GP,15,15,15,-1,1,14.385737168134618,0.9485006398075972
71,GP,16,13,11,0,0,13.611775563374177,0.3293037332349694
72,GP,15,11,10,-1,0,11.826951836721836,0.024220109699484436
73,GP,15,13,11,-1,0,13.106344502428225,0.4033874614251766
74,GP,16,13,14,0,1,13.611775563374177,0.3293037332349694
75,GP,16,11,11,0,0,12.332382897667788,0.01770544016311792
76,GP,15,11,11,-1,0,11.826951836721836,0.024220109699484436
77,GP,15,12,11,-1,0,12.46664816957503,0.11468928632666442
78,GP,16,13,13,0,0,13.611775563374177,0.3293037332349694
79,GP,17,9,10,1,0,11.558421292907347,0.0004802764902124132
80,GP,16,12,11,0,0,12.972079230520983,0.0859847293914289
