kaynak_satir,school,age,G1,G3,age_c,hedef14
1,GP,18,0,11,2,0
2,GP,17,9,11,1,0
3,GP,15,12,12,-1,0
4,GP,15,14,14,-1,1
5,GP,16,11,13,0,0
6,GP,16,12,13,0,0
7,GP,16,13,13,0,0
8,GP,17,10,13,1,0
9,GP,15,15,17,-1,1
10,GP,15,12,13,-1,0
11,GP,15,14,14,-1,1
12,GP,15,10,13,-1,0
13,GP,15,12,12,-1,0
14,GP,15,12,13,-1,0
15,GP,15,14,15,-1,1
16,GP,16,17,17,0,1
17,GP,16,13,14,0,1
18,GP,16,13,14,0,1
19,GP,17,8,7,1,0
20,GP,16,12,12,0,0
21,GP,15,12,14,-1,1
22,GP,15,11,12,-1,0
23,GP,16,12,14,0,1
24,GP,16,10,10,0,0
25,GP,15,10,10,-1,0
26,GP,16,10,12,0,0
27,GP,15,11,12,-1,0
28,GP,15,11,11,-1,0
29,GP,16,12,13,0,0
30,GP,16,12,12,0,0
31,GP,15,10,11,-1,0
32,GP,15,15,15,-1,1
33,GP,15,13,15,-1,1
34,GP,15,13,12,-1,0
35,GP,16,12,12,0,0
36,GP,15,11,11,-1,0
37,GP,15,14,14,-1,1
38,GP,16,13,13,0,0
39,GP,15,11,12,-1,0
40,GP,15,14,12,-1,0
41,GP,16,11,10,0,0
42,GP,15,10,11,-1,0
43,GP,15,14,15,-1,1
44,GP,15,9,10,-1,0
45,GP,16,10,11,0,0
46,GP,15,10,11,-1,0
47,GP,16,13,13,0,0
48,GP,16,17,17,0,1
49,GP,15,11,13,-1,0
50,GP,15,13,12,-1,0
51,GP,16,14,13,0,0
52,GP,15,16,16,-1,1
53,GP,15,10,9,-1,0
54,GP,15,13,12,-1,0
55,GP,15,13,13,-1,0
56,GP,16,12,12,0,0
57,GP,15,15,15,-1,1
58,GP,15,15,16,-1,1
59,GP,15,14,14,-1,1
60,GP,16,16,16,0,1
61,GP,16,17,16,0,1
62,GP,16,10,16,0,1
63,GP,16,13,10,0,0
64,GP,16,14,13,0,0
65,GP,15,13,12,-1,0
66,GP,16,16,16,0,1
67,GP,15,11,12,-1,0
68,GP,16,10,10,0,0
69,GP,15,11,11,-1,0
70,GP,15,15,15,-1,1
71,GP,16,13,11,0,0
72,GP,15,11,10,-1,0
73,GP,15,13,11,-1,0
74,GP,16,13,14,0,1
75,GP,16,11,11,0,0
76,GP,15,11,11,-1,0
77,GP,15,12,11,-1,0
78,GP,16,13,13,0,0
79,GP,17,9,10,1,0
80,GP,16,12,11,0,0
