kaynak_satir,school,age,G1,G3
1,GP,18,0,11
2,GP,17,9,11
3,GP,15,12,12
4,GP,15,14,14
5,GP,16,11,13
6,GP,16,12,13
7,GP,16,13,13
8,GP,17,10,13
9,GP,15,15,17
10,GP,15,12,13
11,GP,15,14,14
12,GP,15,10,13
13,GP,15,12,12
14,GP,15,12,13
15,GP,15,14,15
16,GP,16,17,17
17,GP,16,13,14
18,GP,16,13,14
19,GP,17,8,7
20,GP,16,12,12
21,GP,15,12,14
22,GP,15,11,12
23,GP,16,12,14
24,GP,16,10,10
25,GP,15,10,10
26,GP,16,10,12
27,GP,15,11,12
28,GP,15,11,11
29,GP,16,12,13
30,GP,16,12,12
31,GP,15,10,11
32,GP,15,15,15
33,GP,15,13,15
34,GP,15,13,12
35,GP,16,12,12
36,GP,15,11,11
37,GP,15,14,14
38,GP,16,13,13
39,GP,15,11,12
40,GP,15,14,12
41,GP,16,11,10
42,GP,15,10,11
43,GP,15,14,15
44,GP,15,9,10
45,GP,16,10,11
46,GP,15,10,11
47,GP,16,13,13
48,GP,16,17,17
49,GP,15,11,13
50,GP,15,13,12
51,GP,16,14,13
52,GP,15,16,16
53,GP,15,10,9
54,GP,15,13,12
55,GP,15,13,13
56,GP,16,12,12
57,GP,15,15,15
58,GP,15,15,16
59,GP,15,14,14
60,GP,16,16,16
61,GP,16,17,16
62,GP,16,10,16
63,GP,16,13,10
64,GP,16,14,13
65,GP,15,13,12
66,GP,16,16,16
67,GP,15,11,12
68,GP,16,10,10
69,GP,15,11,11
70,GP,15,15,15
71,GP,16,13,11
72,GP,15,11,10
73,GP,15,13,11
74,GP,16,13,14
75,GP,16,11,11
76,GP,15,11,11
77,GP,15,12,11
78,GP,16,13,13
79,GP,17,9,10
80,GP,16,12,11
