kayit,x,araci,w,y_aracilik,y_duzenleyicilik,x_c,w_c
1,-1.1816760971,-0.9441495164,-0.7060293345,-0.3828400262,-2.5615617203,-1.033676431909375,-0.8166322642831251
2,-0.8279482524,-0.0489732521,1.7718469485,-1.0135073424,-0.3960040988,-0.679948587209375,1.6612440187168749
3,-0.0843902218,0.6264405931,-0.6556174095,1.357197279,-0.3882097272,0.06360944339062502,-0.766220339283125
4,0.9736202553,0.6516727974,-1.5161382723,0.0023588855,-1.1473781245,1.121619920490625,-1.6267412020831251
5,-0.026649769,1.1145987696,1.4385110097,0.9762054135,0.2793502215,0.12134989619062501,1.327908079916875
6,0.4741758786,1.5381187215,-0.9893160277,1.3057210791,-1.081621809,0.622175543790625,-1.099918957483125
7,0.293350994,-0.9047664781,-0.2411755289,0.408414109,-1.6249466738,0.441350659190625,-0.35177845868312496
8,0.37040245,1.6403503218,-0.3893840268,2.1279438204,-1.2017447049,0.5184021151906251,-0.499986956583125
9,1.7743501675,1.5254393079,-1.1471902651,2.989034408,-1.3897052326,1.922349832690625,-1.2577931948831251
10,-2.1673147862,-1.8451352377,1.0463976104,-0.344110733,-3.2974810769,-2.0193151210093747,0.9357946806168749
11,-0.5780377222,0.0716282137,-0.2567894723,0.9040183742,-0.5127164531,-0.43003805700937503,-0.36739240208312496
12,-0.4275649066,-0.6621265283,0.1079708383,0.736300536,2.4505630298,-0.279565241409375,-0.0026320914831250014
13,-2.2210358893,0.980603273,0.0586937856,0.5072574911,-0.0895450358,-2.0730362241093747,-0.051909144183125
14,-1.8001525373,-2.9846565233,0.3970203899,-2.1551985444,-1.8997532241,-1.652152872109375,0.28641746011687497
15,1.7235030648,1.5393532328,-2.2191003889,2.6852072438,-0.3327624709,1.871502729990625,-2.3297033186831246
16,-1.0602316766,-0.8243986009,1.2892663018,0.2777507152,0.1211561392,-0.9122320114093749,1.1786633720168749
17,0.8808328392,0.2255136937,1.1107212781,0.1987548833,0.3308897222,1.028832504390625,1.000118348316875
18,-1.0558259345,0.8643190205,1.5089579827,1.4090287432,-1.1140615812,-0.907826269309375,1.398355052916875
19,-1.4069146204,0.2456908957,1.1322572389,-2.599869349,-0.2549353526,-1.258914955209375,1.021654309116875
20,-0.4912324612,0.0633724636,0.0352071224,-0.6193293522,-0.4923078692,-0.343232796009375,-0.075395807383125
21,0.8809560325,0.1554410526,-0.6154807224,-0.1558866312,-0.7326339433,1.0289556976906251,-0.726083652183125
22,-0.2826578164,-1.5808778794,-1.5698203009,-1.1120828073,0.0224555754,-0.13465815120937497,-1.680423230683125
23,-0.9315290067,-0.6116490322,1.3893490083,-1.2973705231,0.698445057,-0.783529341509375,1.278746078516875
24,-1.2911094584,-1.6362138993,-1.2604206236,-1.600620194,-0.787467299,-1.143109793209375,-1.371023553383125
25,0.4639807768,1.9918484739,-0.9807657755,3.828163727,-1.1481224354,0.611980441990625,-1.091368705283125
26,-0.7964645204,0.1439477502,-1.2470315208,0.5544078019,-1.1456116592,-0.648464855209375,-1.357634450583125
27,-0.2066644727,0.0814452892,0.4892369686,1.3603899998,-1.0364756053,-0.05866480750937497,0.37863403881687496
28,-1.41767111,-2.4641791293,0.5972257549,-1.8044905436,-1.0811086049,-1.2696714448093749,0.48662282511687494
29,-1.0867091701,-0.6284730013,-0.4868299908,0.4363719133,-0.9435570129,-0.938709504909375,-0.597432920583125
30,-0.4578577496,-1.2890624817,0.9354541019,-0.2791082591,0.973243403,-0.30985808440937496,0.824851172116875
31,0.1718493073,-0.7993503106,-1.8552957329,-0.7755760436,0.4247373177,0.31984897249062505,-1.965898662683125
32,-0.0202371011,0.6094906089,-2.4956645149,-0.6231868496,0.1669499373,0.12776256409062503,-2.606267444683125
33,-0.6296531982,-0.6142180685,0.8887403451,-0.1645916656,-0.6517322505,-0.48165353300937497,0.778137415316875
34,-0.6436727032,-0.6856326594,-0.4062081702,0.7323318857,1.5139019491,-0.495673038009375,-0.516811099983125
35,-0.3726400377,-0.3196056199,0.3260474439,1.6292091627,-0.5936525664,-0.22464037250937496,0.215444514116875
36,-0.655897532,-0.8122242784,1.2422161672,-1.0087064594,-0.0579917221,-0.507897866809375,1.131613237416875
37,-0.7893024896,-0.5249983598,0.2201146291,-2.0982819645,0.9452250813,-0.641302824409375,0.10951169931687499
38,0.1677052786,-1.1834390236,-1.7421592443,-0.1928820087,-2.6169938809,0.315704943790625,-1.852762174083125
39,0.5577638115,1.3139084234,-0.0934678896,1.5496806038,1.4371154882,0.705763476690625,-0.204070819383125
40,-0.748317759,-1.2000406955,0.2781334289,-1.4557527068,-0.5970425349,-0.600318093809375,0.16753049911687498
41,-0.1994372921,0.2784337208,-0.4775855387,0.201955202,-0.1511658609,-0.05143762690937498,-0.588188468483125
42,-1.1440502087,-0.7470773516,-1.4803712404,-0.7312721911,1.5430804145,-0.9960505435093749,-1.590974170183125
43,0.8981755744,-0.738398397,-0.1435561053,-1.3385138656,-0.904708076,1.046175239590625,-0.254159035083125
44,0.5677664658,-0.1161611078,-0.4937464492,0.9420579171,0.9444718777,0.715766130990625,-0.604349378983125
45,1.2489160815,1.3019200398,0.2179562466,0.3161469441,-0.1601884969,1.396915746690625,0.10735331681687499
46,0.8941087458,0.2381932273,-0.1872382888,1.1291908452,0.8868932383,1.042108410990625,-0.297841218583125
47,0.5146693199,-0.075931856,-1.0205168755,1.3197129682,1.9437412427,0.662668985090625,-1.131119805283125
48,-0.4797079806,-0.5624341332,-0.301565341,-0.6773188826,-0.1208225589,-0.33170831540937495,-0.412168270783125
49,-0.8241195735,-1.4916229865,-0.0996747366,-1.6189721084,1.2497784991,-0.676119908309375,-0.210277666383125
50,1.2366215005,0.2513927036,0.7963472092,1.0077661782,-1.0916533908,1.384621165690625,0.685744279416875
51,0.6559106493,-0.754840309,0.3839919398,-1.9514117428,0.5527371612,0.803910314490625,0.273389010016875
