kayit,x,araci,w,y_aracilik,y_duzenleyicilik
1,-1.1816760971,-0.9441495164,-0.7060293345,-0.3828400262,-2.5615617203
2,-0.8279482524,-0.0489732521,1.7718469485,-1.0135073424,-0.3960040988
3,-0.0843902218,0.6264405931,-0.6556174095,1.3571972790,-0.3882097272
4,0.9736202553,0.6516727974,-1.5161382723,0.0023588855,-1.1473781245
5,-0.0266497690,1.1145987696,1.4385110097,0.9762054135,0.2793502215
6,0.4741758786,1.5381187215,-0.9893160277,1.3057210791,-1.0816218090
7,0.2933509940,-0.9047664781,-0.2411755289,0.4084141090,-1.6249466738
8,0.3704024500,1.6403503218,-0.3893840268,2.1279438204,-1.2017447049
9,1.7743501675,1.5254393079,-1.1471902651,2.9890344080,-1.3897052326
10,-2.1673147862,-1.8451352377,1.0463976104,-0.3441107330,-3.2974810769
11,-0.5780377222,0.0716282137,-0.2567894723,0.9040183742,-0.5127164531
12,-0.4275649066,-0.6621265283,0.1079708383,0.7363005360,2.4505630298
13,-2.2210358893,0.9806032730,0.0586937856,0.5072574911,-0.0895450358
14,-1.8001525373,-2.9846565233,0.3970203899,-2.1551985444,-1.8997532241
15,1.7235030648,1.5393532328,-2.2191003889,2.6852072438,-0.3327624709
16,-1.0602316766,-0.8243986009,1.2892663018,0.2777507152,0.1211561392
17,0.8808328392,0.2255136937,1.1107212781,0.1987548833,0.3308897222
18,-1.0558259345,0.8643190205,1.5089579827,1.4090287432,-1.1140615812
19,-1.4069146204,0.2456908957,1.1322572389,-2.5998693490,-0.2549353526
20,-0.4912324612,0.0633724636,0.0352071224,-0.6193293522,-0.4923078692
21,0.8809560325,0.1554410526,-0.6154807224,-0.1558866312,-0.7326339433
22,-0.2826578164,-1.5808778794,-1.5698203009,-1.1120828073,0.0224555754
23,-0.9315290067,-0.6116490322,1.3893490083,-1.2973705231,0.6984450570
24,-1.2911094584,-1.6362138993,-1.2604206236,-1.6006201940,-0.7874672990
25,0.4639807768,1.9918484739,-0.9807657755,3.8281637270,-1.1481224354
