omitted_ID,n,mean,sd,reference,estimate,se,df,t,p,ci,d
1,9,1.6222222222222222,1.29689800849737,0,1.6222222222222222,0.43229933616579,8,3.7525438660402846,0.005603789707428965,"[0.6253381653778947, 2.61910627906655]",1.2508479553467615
2,9,1.488888888888889,1.2683103370670408,0,1.488888888888889,0.42277011235568024,8,3.5217458504641725,0.007825890098197655,"[0.5139792615559605, 2.4637985162218174]",1.1739152834880575
3,9,1.6111111111111112,1.300427280208744,0,1.6111111111111112,0.43347576006958133,8,3.716727114919866,0.005899058985539093,"[0.6115142158798879, 2.6107080063423345]",1.2389090383066221
4,9,1.6111111111111112,1.300427280208744,0,1.6111111111111112,0.43347576006958133,8,3.716727114919866,0.005899058985539093,"[0.6115142158798879, 2.6107080063423345]",1.2389090383066221
5,9,1.7555555555555555,1.1641639823400212,0,1.7555555555555555,0.38805466078000705,8,4.523990388433452,0.0019396726787932596,"[0.8606999031116095, 2.6504112079995017]",1.507996796144484
6,9,1.6444444444444446,1.2865759898963518,0,1.6444444444444446,0.4288586632987839,8,3.8344671220941793,0.004986188172742346,"[0.6554945934593178, 2.6333942954295715]",1.2781557073647263
7,9,1.5555555555555558,1.3020283321716841,0,1.5555555555555558,0.434009444057228,8,3.5841513977526303,0.007144991955452235,"[0.5547279828419269, 2.556383128269185]",1.19471713258421
8,9,1.666666666666667,1.2718097341976904,0,1.666666666666667,0.4239365780658968,8,3.931405669853758,0.004348084642866512,"[0.6890671645824052, 2.644266168750929]",1.3104685566179193
9,9,1.2444444444444445,0.6597558470963163,0,1.2444444444444445,0.2199186156987721,8,5.658658956588697,0.0004766164813209595,"[0.7373112072347002, 1.7515776816541888]",1.8862196521962324
10,9,1.6,1.3028814220795382,0,1.6,0.4342938073598461,8,3.6841418709760143,0.006182145173983766,"[0.5985166843346337, 2.6014833156653667]",1.228047290325338
