kaynak_satir,len,supp,dose,supp_kod,dose_kod
1,4.2,VC,0.5,2,1
2,11.5,VC,0.5,2,1
3,7.3,VC,0.5,2,1
4,5.8,VC,0.5,2,1
5,6.4,VC,0.5,2,1
6,10.0,VC,0.5,2,1
7,11.2,VC,0.5,2,1
8,11.2,VC,0.5,2,1
9,5.2,VC,0.5,2,1
10,7.0,VC,0.5,2,1
11,16.5,VC,1.0,2,2
12,16.5,VC,1.0,2,2
13,15.2,VC,1.0,2,2
14,17.3,VC,1.0,2,2
15,22.5,VC,1.0,2,2
16,17.3,VC,1.0,2,2
17,13.6,VC,1.0,2,2
18,14.5,VC,1.0,2,2
19,18.8,VC,1.0,2,2
20,15.5,VC,1.0,2,2
21,23.6,VC,2.0,2,3
22,18.5,VC,2.0,2,3
23,33.9,VC,2.0,2,3
24,25.5,VC,2.0,2,3
25,26.4,VC,2.0,2,3
26,32.5,VC,2.0,2,3
27,26.7,VC,2.0,2,3
28,21.5,VC,2.0,2,3
29,23.3,VC,2.0,2,3
30,29.5,VC,2.0,2,3
31,15.2,OJ,0.5,1,1
32,21.5,OJ,0.5,1,1
33,17.6,OJ,0.5,1,1
34,9.7,OJ,0.5,1,1
35,14.5,OJ,0.5,1,1
36,10.0,OJ,0.5,1,1
37,8.2,OJ,0.5,1,1
38,9.4,OJ,0.5,1,1
39,16.5,OJ,0.5,1,1
40,9.7,OJ,0.5,1,1
41,19.7,OJ,1.0,1,2
42,23.3,OJ,1.0,1,2
43,23.6,OJ,1.0,1,2
44,26.4,OJ,1.0,1,2
45,20.0,OJ,1.0,1,2
46,25.2,OJ,1.0,1,2
47,25.8,OJ,1.0,1,2
48,21.2,OJ,1.0,1,2
49,14.5,OJ,1.0,1,2
50,27.3,OJ,1.0,1,2
51,25.5,OJ,2.0,1,3
52,26.4,OJ,2.0,1,3
53,22.4,OJ,2.0,1,3
54,24.5,OJ,2.0,1,3
55,24.8,OJ,2.0,1,3
56,30.9,OJ,2.0,1,3
57,26.4,OJ,2.0,1,3
58,27.3,OJ,2.0,1,3
59,29.4,OJ,2.0,1,3
60,23.0,OJ,2.0,1,3
