kaynak_satir,len,supp,dose,supp_kod,dose_kod,esik20
1,4.2,VC,0.5,2,1,0
2,11.5,VC,0.5,2,1,0
3,7.3,VC,0.5,2,1,0
4,5.8,VC,0.5,2,1,0
5,6.4,VC,0.5,2,1,0
6,10.0,VC,0.5,2,1,0
7,11.2,VC,0.5,2,1,0
8,11.2,VC,0.5,2,1,0
9,5.2,VC,0.5,2,1,0
10,7.0,VC,0.5,2,1,0
11,16.5,VC,1.0,2,2,0
12,16.5,VC,1.0,2,2,0
13,15.2,VC,1.0,2,2,0
14,17.3,VC,1.0,2,2,0
15,22.5,VC,1.0,2,2,1
16,17.3,VC,1.0,2,2,0
17,13.6,VC,1.0,2,2,0
18,14.5,VC,1.0,2,2,0
19,18.8,VC,1.0,2,2,0
20,15.5,VC,1.0,2,2,0
21,23.6,VC,2.0,2,3,1
22,18.5,VC,2.0,2,3,0
23,33.9,VC,2.0,2,3,1
24,25.5,VC,2.0,2,3,1
25,26.4,VC,2.0,2,3,1
26,32.5,VC,2.0,2,3,1
27,26.7,VC,2.0,2,3,1
28,21.5,VC,2.0,2,3,1
29,23.3,VC,2.0,2,3,1
30,29.5,VC,2.0,2,3,1
31,15.2,OJ,0.5,1,1,0
32,21.5,OJ,0.5,1,1,1
33,17.6,OJ,0.5,1,1,0
34,9.7,OJ,0.5,1,1,0
35,14.5,OJ,0.5,1,1,0
36,10.0,OJ,0.5,1,1,0
37,8.2,OJ,0.5,1,1,0
38,9.4,OJ,0.5,1,1,0
39,16.5,OJ,0.5,1,1,0
40,9.7,OJ,0.5,1,1,0
41,19.7,OJ,1.0,1,2,0
42,23.3,OJ,1.0,1,2,1
43,23.6,OJ,1.0,1,2,1
44,26.4,OJ,1.0,1,2,1
45,20.0,OJ,1.0,1,2,1
46,25.2,OJ,1.0,1,2,1
47,25.8,OJ,1.0,1,2,1
48,21.2,OJ,1.0,1,2,1
49,14.5,OJ,1.0,1,2,0
50,27.3,OJ,1.0,1,2,1
51,25.5,OJ,2.0,1,3,1
52,26.4,OJ,2.0,1,3,1
53,22.4,OJ,2.0,1,3,1
54,24.5,OJ,2.0,1,3,1
55,24.8,OJ,2.0,1,3,1
56,30.9,OJ,2.0,1,3,1
57,26.4,OJ,2.0,1,3,1
58,27.3,OJ,2.0,1,3,1
59,29.4,OJ,2.0,1,3,1
60,23.0,OJ,2.0,1,3,1
