kaynak_satir,kaynak_kayit,A1,A2,A3,A4,A5
1,61617,5,4.0,3,4,4
2,61618,5,4.0,5,2,5
3,61620,2,4.0,5,4,4
4,61621,3,4.0,6,5,5
5,61622,5,3.0,3,4,5
6,61623,1,6.0,5,6,5
7,61624,5,5.0,5,3,5
8,61629,3,3.0,1,5,1
9,61630,3,3.0,6,3,3
10,61633,5,5.0,6,6,5
11,61634,3,4.0,5,6,5
12,61636,5,5.0,5,5,5
13,61637,2,5.0,5,6,4
14,61639,2,5.0,5,6,6
15,61640,3,5.0,2,2,1
16,61643,3,3.0,6,6,3
17,61650,3,6.0,6,2,5
18,61651,2,5.0,5,4,5
19,61653,3,4.0,5,4,3
20,61654,3,4.0,6,5,5
21,61656,2,4.0,2,1,2
22,61659,6,6.0,6,1,5
23,61661,6,5.0,6,5,6
24,61664,5,6.0,5,6,5
25,61667,3,5.0,5,6,5
26,61668,6,6.0,6,1,6
27,61669,5,4.0,4,4,3
28,61670,5,5.0,6,6,6
29,61672,5,5.0,1,3,5
30,61673,3,5.0,6,5,5
31,61678,6,6.0,5,6,3
32,61679,5,5.0,6,6,6
33,61682,6,5.0,6,5,4
34,61683,5,4.0,5,6,5
35,61684,3,4.0,4,4,4
36,61685,2,3.0,5,4,2
37,61686,6,6.0,4,6,4
38,61687,6,4.0,4,2,3
39,61688,6,6.0,6,6,6
40,61691,6,5.0,4,3,5
41,61692,6,5.0,5,6,5
42,61693,2,4.0,3,6,4
43,61696,6,5.0,4,4,5
44,61698,2,6.0,4,3,5
45,61700,5,6.0,6,6,6
46,61701,6,6.0,6,6,6
47,61702,2,5.0,3,4,3
48,61703,5,6.0,4,5,5
49,61713,6,5.0,3,2,3
50,61715,6,6.0,6,6,6
51,61716,6,6.0,6,6,4
52,61723,6,5.0,6,5,4
53,61724,4,6.0,4,4,4
54,61725,3,3.0,5,6,3
55,61728,6,6.0,6,6,6
56,61730,6,4.0,3,5,5
57,61731,6,4.0,2,2,2
58,61732,4,4.0,5,2,4
59,61740,6,6.0,5,4,4
60,61742,4,3.0,5,4,5
61,61748,5,3.0,4,4,5
62,61749,5,4.0,4,5,3
63,61754,6,4.0,6,6,6
64,61756,3,5.0,3,5,4
65,61757,5,6.0,6,6,6
67,61761,6,5.0,4,2,5
68,61762,3,3.0,2,2,2
69,61763,5,3.0,4,5,6
70,61764,6,6.0,6,3,6
71,61771,3,5.0,6,6,4
72,61772,5,4.0,6,2,5
73,61773,3,4.0,4,5,3
74,61775,6,5.0,5,5,4
75,61776,4,5.0,5,5,4
76,61777,5,5.0,5,6,5
77,61778,5,6.0,6,6,6
78,61780,2,6.0,6,6,5
79,61782,6,2.0,2,4,2
80,61783,5,5.0,5,5,5
81,61784,6,5.0,6,5,3
82,61788,6,6.0,3,3,1
83,61789,6,4.0,6,2,6
84,61793,6,6.0,6,5,6
85,61794,6,6.0,5,2,6
86,61797,3,4.0,4,6,5
87,61798,6,5.0,5,5,5
88,61801,6,6.0,5,4,6
89,61808,6,6.0,4,6,4
90,61812,4,4.0,5,5,4
91,61813,6,5.0,5,5,5
92,61816,6,5.0,6,2,5
93,61818,5,4.0,5,4,5
94,61819,6,6.0,6,3,6
95,61821,5,6.0,4,6,4
96,61822,5,3.0,3,4,3
97,61825,4,1.0,2,2,2
98,61826,6,4.0,5,5,6
99,61829,3,3.0,2,6,5
100,61831,5,6.0,2,3,4
