kaynak_satir,kaynak_kayit,C1,C2,C3,C4,C5
1,61617,2.0,3,3.0,3,3
2,61618,5.0,4,4.0,4,3
3,61620,4.0,5,4.0,5,2
4,61621,4.0,4,3.0,2,2
5,61622,4.0,4,5.0,4,5
6,61623,6.0,6,6.0,6,4
7,61624,5.0,4,4.0,5,4
8,61629,3.0,2,4.0,5,3
9,61630,6.0,6,3.0,3,2
10,61633,6.0,5,6.0,5,6
11,61634,4.0,3,5.0,4,5
12,61636,5.0,4,5.0,3,2
13,61637,5.0,4,3.0,5,5
14,61639,4.0,4,4.0,5,6
15,61640,5.0,5,5.0,5,5
16,61643,5.0,5,5.0,4,2
17,61650,4.0,4,4.0,3,3
18,61651,5.0,5,5.0,3,4
19,61653,5.0,4,5.0,3,1
20,61654,1.0,1,1.0,2,1
21,61656,4.0,6,5.0,2,3
22,61659,5.0,4,4.0,5,4
23,61661,4.0,3,2.0,3,2
24,61664,3.0,5,6.0,4,1
25,61667,5.0,5,4.0,6,6
26,61668,5.0,2,5.0,6,6
27,61669,6.0,5,6.0,6,6
28,61670,4.0,5,4.0,4,3
29,61672,5.0,4,5.0,5,2
30,61673,5.0,5,3.0,2,3
31,61678,5.0,5,5.0,3,4
32,61679,5.0,5,5.0,5,3
33,61682,1.0,5,6.0,3,1
34,61683,4.0,6,4.0,5,3
35,61684,4.0,3,3.0,4,3
36,61685,2.0,2,4.0,4,3
37,61686,5.0,6,3.0,6,2
38,61687,6.0,5,6.0,4,3
39,61688,6.0,6,6.0,6,6
40,61691,6.0,5,5.0,5,5
41,61692,4.0,4,4.0,4,3
42,61693,5.0,2,5.0,5,3
43,61696,4.0,5,4.0,4,4
44,61698,5.0,3,3.0,3,2
45,61700,5.0,4,5.0,4,3
46,61701,5.0,2,1.0,5,6
47,61702,4.0,4,3.0,3,2
48,61703,3.0,2,3.0,3,1
49,61713,3.0,6,3.0,6,4
50,61715,5.0,5,4.0,6,5
51,61716,4.0,3,1.0,3,5
52,61723,6.0,6,6.0,1,5
53,61724,5.0,5,3.0,5,2
54,61725,5.0,6,2.0,2,5
55,61728,6.0,5,5.0,5,5
56,61730,5.0,5,4.0,3,2
57,61731,5.0,5,5.0,2,6
58,61732,5.0,4,5.0,5,3
59,61740,6.0,6,6.0,6,3
60,61742,6.0,4,4.0,5,5
61,61748,5.0,3,2.0,3,1
62,61749,5.0,5,4.0,4,3
64,61756,6.0,5,5.0,5,5
65,61757,4.0,6,6.0,6,3
66,61759,5.0,4,5.0,5,6
67,61761,1.0,2,2.0,5,1
68,61762,4.0,2,2.0,3,2
69,61763,5.0,5,4.0,5,5
70,61764,6.0,5,6.0,6,3
71,61771,4.0,6,6.0,6,5
72,61772,2.0,4,4.0,6,6
73,61773,5.0,4,6.0,5,3
74,61775,5.0,5,5.0,6,5
75,61776,5.0,5,5.0,6,6
76,61777,5.0,4,6.0,4,5
77,61778,5.0,4,5.0,6,5
78,61780,5.0,5,6.0,4,3
79,61782,2.0,4,2.0,2,6
80,61783,4.0,2,3.0,2,3
81,61784,6.0,5,4.0,3,4
82,61788,6.0,6,5.0,6,1
83,61789,3.0,3,4.0,3,2
84,61793,5.0,6,5.0,6,6
85,61794,4.0,5,5.0,5,4
86,61797,2.0,5,4.0,3,4
87,61798,4.0,4,5.0,5,5
88,61801,4.0,5,4.0,3,2
89,61808,4.0,4,5.0,5,3
91,61813,5.0,2,4.0,6,5
92,61816,5.0,4,5.0,4,3
93,61818,2.0,2,3.0,3,3
94,61819,6.0,6,5.0,6,6
95,61821,4.0,5,6.0,4,6
96,61822,5.0,6,4.0,6,3
97,61825,2.0,1,2.0,1,1
98,61826,6.0,4,4.0,6,6
99,61829,4.0,5,6.0,5,1
100,61831,4.0,2,5.0,4,2
