,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,1.0,0.29095289333371716,0.1571518105265856,-0.10708037142963175,0.2672411727872268,0.07510791157975678,0.08624247342160046,0.0519701739758009,0.1644125166933262,0.16128007403062025
A2,0.29095289333371716,1.0,0.401148196775702,0.1585950721472492,0.4319258090108198,0.2704590037532682,0.22392799342665382,0.28332364139001076,0.344404139419656,0.1394315828368273
A3,0.1571518105265856,0.40114819677570207,1.0,0.27915300688491157,0.5864661600626812,0.16714633059991924,0.15007527460112075,0.08401117299352104,0.10803725484095975,0.1947201127563618
A4,-0.10708037142963174,0.1585950721472492,0.27915300688491157,0.9999999999999999,0.25023387846520956,0.08513001950328615,0.16226290133017676,0.10296438865863687,0.0976036536417028,0.15303383291228656
A5,0.2672411727872268,0.4319258090108198,0.586466160062681,0.25023387846520956,1.0,0.0878945571778705,-0.013039897066121126,0.07039907870989809,0.23195630570644774,0.16281825785568543
C1,0.07510791157975678,0.2704590037532682,0.16714633059991924,0.08513001950328615,0.0878945571778705,1.0,0.47174917142660594,0.3961418154827858,0.3444694017844447,0.33163427648746396
C2,0.08624247342160046,0.2239279934266538,0.15007527460112075,0.16226290133017676,-0.013039897066121124,0.4717491714266059,1.0,0.49606190641978687,0.2884873306434494,0.22797498863832621
C3,0.0519701739758009,0.28332364139001076,0.08401117299352102,0.10296438865863689,0.07039907870989809,0.3961418154827858,0.49606190641978687,1.0,0.38922363618486905,0.2036569803942286
C4,0.1644125166933262,0.344404139419656,0.10803725484095975,0.0976036536417028,0.23195630570644774,0.3444694017844447,0.2884873306434494,0.38922363618486905,1.0,0.3758424525621188
C5,0.16128007403062028,0.1394315828368273,0.19472011275636178,0.15303383291228656,0.16281825785568543,0.33163427648746396,0.22797498863832621,0.20365698039422858,0.37584245256211885,0.9999999999999999
