,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,1.0,0.18803282302414712,0.2025780396919937,0.0917023753122882,0.25063886089746906,0.10506325330519811,0.08511561723401143,0.09182290096032447,0.12780000459184115,0.10416743785654495
A2,0.18803282302414714,1.0,0.38517636434833397,0.1850042142627413,0.4584758137613684,0.2739066382684345,0.2416693671397972,0.25108393359601205,0.3008287503429966,0.2408239549416119
A3,0.2025780396919937,0.38517636434833397,1.0,0.19254268131786986,0.5854448478716126,0.1428662970388883,0.09093775880038056,0.11018653205387387,0.21438064507049706,0.18022861348950422
A4,0.09170237531228821,0.1850042142627413,0.1925426813178699,1.0,0.23436907282719543,0.11565949926667446,0.09791279600790105,0.10357632930928172,0.13379421909903583,0.10812060857490959
A5,0.2506388608974691,0.4584758137613684,0.5854448478716127,0.2343690728271954,1.0,0.09014184483737664,0.016107943830130467,0.04510475403064776,0.20281097343556656,0.17790803316711826
C1,0.10506325330519811,0.2739066382684345,0.14286629703888828,0.11565949926667446,0.09014184483737665,1.0,0.4424515766270385,0.43118945303318396,0.36716956675216156,0.2783105727064608
C2,0.08511561723401143,0.24166936713979717,0.09093775880038055,0.09791279600790105,0.016107943830130474,0.4424515766270385,1.0,0.4490483605593239,0.3657073040378816,0.2747505182955582
C3,0.09182290096032447,0.25108393359601205,0.11018653205387385,0.10357632930928173,0.04510475403064775,0.431189453033184,0.44904836055932396,1.0,0.3612788572378853,0.2723949071237276
C4,0.12780000459184113,0.3008287503429966,0.21438064507049703,0.13379421909903583,0.20281097343556656,0.36716956675216156,0.3657073040378816,0.3612788572378853,1.0,0.2578803307007085
C5,0.10416743785654495,0.24082395494161188,0.18022861348950425,0.10812060857490959,0.17790803316711828,0.2783105727064608,0.2747505182955582,0.2723949071237276,0.2578803307007085,1.0
