kaynak_satir,kaynak_kayit,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
1,61617,2,4,3,4,4,2,3,3,4,4
2,61618,2,4,5,2,5,5,4,4,3,4
3,61620,5,4,5,4,4,4,5,4,2,5
4,61621,4,4,6,5,5,4,4,3,5,5
5,61622,2,3,3,4,5,4,4,5,3,2
6,61623,6,6,5,6,5,6,6,6,1,3
7,61624,2,5,5,3,5,5,4,4,2,3
8,61629,4,3,1,5,1,3,2,4,2,4
9,61630,4,3,6,3,3,6,6,3,4,5
10,61633,2,5,6,6,5,6,5,6,2,1
11,61634,4,4,5,6,5,4,3,5,3,2
12,61636,2,5,5,5,5,5,4,5,4,5
13,61637,5,5,5,6,4,5,4,3,2,2
14,61639,5,5,5,6,6,4,4,4,2,1
15,61640,4,5,2,2,1,5,5,5,2,2
16,61643,4,3,6,6,3,5,5,5,3,5
17,61650,4,6,6,2,5,4,4,4,4,4
18,61651,5,5,5,4,5,5,5,5,4,3
19,61653,4,4,5,4,3,5,4,5,4,6
20,61654,4,4,6,5,5,1,1,1,5,6
21,61656,5,4,2,1,2,4,6,5,5,4
22,61659,1,6,6,1,5,5,4,4,2,3
23,61661,1,5,6,5,6,4,3,2,4,5
24,61664,2,6,5,6,5,3,5,6,3,6
25,61667,4,5,5,6,5,5,5,4,1,1
26,61668,1,6,6,1,6,5,2,5,1,1
27,61669,2,4,4,4,3,6,5,6,1,1
28,61670,2,5,6,6,6,4,5,4,3,4
29,61672,2,5,1,3,5,5,4,5,2,5
30,61673,4,5,6,5,5,5,5,3,5,4
31,61678,1,6,5,6,3,5,5,5,4,3
32,61679,2,5,6,6,6,5,5,5,2,4
33,61682,1,5,6,5,4,1,5,6,4,6
34,61683,2,4,5,6,5,4,6,4,2,4
35,61684,4,4,4,4,4,4,3,3,3,4
36,61685,5,3,5,4,2,2,2,4,3,4
37,61686,1,6,4,6,4,5,6,3,1,5
38,61687,1,4,4,2,3,6,5,6,3,4
39,61688,1,6,6,6,6,6,6,6,1,1
40,61691,1,5,4,3,5,6,5,5,2,2
41,61692,1,5,5,6,5,4,4,4,3,4
42,61693,5,4,3,6,4,5,2,5,2,4
43,61696,1,5,4,4,5,4,5,4,3,3
44,61698,5,6,4,3,5,5,3,3,4,5
45,61700,2,6,6,6,6,5,4,5,3,4
46,61701,1,6,6,6,6,5,2,1,2,1
47,61702,5,5,3,4,3,4,4,3,4,5
48,61703,2,6,4,5,5,3,2,3,4,6
49,61713,1,5,3,2,3,3,6,3,1,3
50,61715,1,6,6,6,6,5,5,4,1,2
51,61716,1,6,6,6,4,4,3,1,4,2
52,61723,1,5,6,5,4,6,6,6,6,2
53,61724,3,6,4,4,4,5,5,3,2,5
54,61725,4,3,5,6,3,5,6,2,5,2
55,61728,1,6,6,6,6,6,5,5,2,2
56,61730,1,4,3,5,5,5,5,4,4,5
57,61731,1,4,2,2,2,5,5,5,5,1
58,61732,3,4,5,2,4,5,4,5,2,4
59,61740,1,6,5,4,4,6,6,6,1,4
60,61742,3,3,5,4,5,6,4,4,2,2
61,61748,2,3,4,4,5,5,3,2,4,6
62,61749,2,4,4,5,3,5,5,4,3,4
63,61754,1,4,6,6,6,,6,6,2,3
64,61756,4,5,3,5,4,6,5,5,2,2
65,61757,2,6,6,6,6,4,6,6,1,4
66,61759,2,,4,6,4,5,4,5,2,1
67,61761,1,5,4,2,5,1,2,2,2,6
68,61762,4,3,2,2,2,4,2,2,4,5
69,61763,2,3,4,5,6,5,5,4,2,2
70,61764,1,6,6,3,6,6,5,6,1,4
71,61771,4,5,6,6,4,4,6,6,1,2
72,61772,2,4,6,2,5,2,4,4,1,1
73,61773,4,4,4,5,3,5,4,6,2,4
74,61775,1,5,5,5,4,5,5,5,1,2
75,61776,3,5,5,5,4,5,5,5,1,1
76,61777,2,5,5,6,5,5,4,6,3,2
77,61778,2,6,6,6,6,5,4,5,1,2
78,61780,5,6,6,6,5,5,5,6,3,4
79,61782,1,2,2,4,2,2,4,2,5,1
80,61783,2,5,5,5,5,4,2,3,5,4
81,61784,1,5,6,5,3,6,5,4,4,3
82,61788,1,6,3,3,1,6,6,5,1,6
83,61789,1,4,6,2,6,3,3,4,4,5
84,61793,1,6,6,5,6,5,6,5,1,1
85,61794,1,6,5,2,6,4,5,5,2,3
86,61797,4,4,4,6,5,2,5,4,4,3
87,61798,1,5,5,5,5,4,4,5,2,2
88,61801,1,6,5,4,6,4,5,4,4,5
89,61808,1,6,4,6,4,4,4,5,2,4
90,61812,3,4,5,5,4,3,3,,3,3
91,61813,1,5,5,5,5,5,2,4,1,2
92,61816,1,5,6,2,5,5,4,5,3,4
93,61818,2,4,5,4,5,2,2,3,4,4
94,61819,1,6,6,3,6,6,6,5,1,1
95,61821,2,6,4,6,4,4,5,6,3,1
96,61822,2,3,3,4,3,5,6,4,1,4
97,61825,3,1,2,2,2,2,1,2,6,6
98,61826,1,4,5,5,6,6,4,4,1,1
99,61829,4,3,2,6,5,4,5,6,2,6
100,61831,2,6,2,3,4,4,2,5,3,5
