,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,3.519087243830657e-10,0.1116924676768016,-0.06623591682691418,-0.20502114820939857,0.03368929110653111,0.006609120100751193,0.018475237974972122,-0.015065986221247317,0.10610621041207613,0.11494713194474442
A2,0.1116924676768016,3.877914878103181e-09,-0.03142882046739303,-0.031061403558866107,-0.020333487172779597,0.1378151774617037,0.09270078178165504,0.15351211338435142,0.23149745311055067,0.049710602525814274
A3,-0.06623591682691418,-0.03142882046739303,3.41429073902333e-09,0.04281010559698874,0.022877314511758784,0.0018504891214687616,-0.013455233980945648,-0.07775516287901027,-0.032662891134804195,0.08291313799236914
A4,-0.20502114820939857,-0.031061403558866107,0.04281010559698874,1.3712324609116428e-09,0.0031373616976577146,0.012658701115924468,0.09056556492112305,0.03204052556251978,0.03591592462834348,0.10401385277500426
A5,0.03368929110653111,-0.020333487172779597,0.022877314511758784,0.0031373616976577146,-1.9102350812261185e-09,-0.08492225450935063,-0.1840110531095525,-0.0987276346651604,0.08485429506918614,0.04592405936717832
C1,0.006609120100751207,0.1378151774617037,0.0018504891214687616,0.012658701115924468,-0.08492225450935066,1.4410175275258989e-09,0.03780978487094926,-0.03311621815596465,-0.028888056480746695,0.034946823715415895
C2,0.018475237974972136,0.09270078178165504,-0.013455233980945648,0.09056556492112307,-0.18401105310955254,0.03780978487094926,2.080453809227835e-09,0.07138827926726092,-0.08088273025414464,-0.06554389004475257
C3,-0.015065986221247317,0.15351211338435142,-0.07775516287901027,0.03204052556251978,-0.0987276346651604,-0.03311621815596465,0.07138827926726092,-2.1048329745809732e-09,0.023838352114577358,-0.0866954066048468
C4,0.10610621041207613,0.23149745311055067,-0.032662891134804195,0.03591592462834349,0.08485429506918614,-0.028888056480746695,-0.08088273025414464,0.023838352114577358,3.016027649849206e-09,0.12330150815096254
C5,0.11494713194474442,0.049710602525814274,0.08291313799236914,0.10401385277500426,0.045924059367178305,0.034946823715415895,-0.06554389004475257,-0.0866954066048468,0.12330150815096254,1.0411650430697254e-09
