,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,0.9999999996480906,0.17926042565691494,0.2233877273534997,0.09794077677976676,0.23355188168069554,0.06849879147900556,0.06776723544662819,0.06703616019704821,0.058306306281250074,0.0463329420858759
A2,0.17926042565691494,0.9999999961220858,0.43257701724309533,0.18965647570611527,0.4522592961835995,0.13264382629156446,0.13122721164499873,0.12981152800565934,0.11290668630910519,0.08972098031101294
A3,0.2233877273534997,0.43257701724309533,0.999999996585709,0.23634290128792307,0.5635888455509221,0.16529584147845053,0.16353050858206628,0.16176633587253128,0.14070014597576394,0.11180697476399269
A4,0.09794077677976676,0.18965647570611527,0.23634290128792307,0.9999999986287671,0.24709651676755173,0.07247131838736175,0.07169733640905393,0.07092386309611717,0.061687729013359366,0.049019980137282454
A5,0.23355188168069554,0.4522592961835995,0.5635888455509221,0.24709651676755173,1.0000000019102355,0.17281681168722124,0.17097115604343138,0.16912671337505858,0.1471020106372616,0.11689419848850723
C1,0.06849879147900555,0.13264382629156446,0.16529584147845053,0.07247131838736175,0.17281681168722127,0.9999999985589838,0.43393938655565656,0.42925803363875015,0.37335745826519146,0.29668745277204794
C2,0.06776723544662817,0.13122721164499873,0.16353050858206628,0.07169733640905392,0.1709711560434314,0.43393938655565656,0.9999999979195453,0.4246736271525259,0.3693700608975941,0.2935188786830789
C3,0.06703616019704821,0.12981152800565934,0.16176633587253128,0.07092386309611717,0.16912671337505858,0.42925803363875015,0.4246736271525259,1.0000000021048325,0.3653852840702916,0.29035238699907523
C4,0.058306306281250074,0.11290668630910519,0.14070014597576394,0.06168772901335936,0.1471020106372616,0.37335745826519146,0.3693700608975941,0.3653852840702916,0.9999999969839726,0.2525409444111565
C5,0.0463329420858759,0.08972098031101294,0.11180697476399269,0.049019980137282454,0.11689419848850724,0.29668745277204794,0.2935188786830789,0.29035238699907523,0.2525409444111565,0.9999999989588345
