item,loading,loading_std,loading_std_se,loading_std_ci95,theta,theta_std,R_squared
A1,0.30425669661666327,0.30425669667019867,0.10710905902515043,"[0.094326798562929, 0.5141865947774683]",0.9074278622120063,0.9074278625313387,0.09257213746866133
A2,0.5891749553922467,0.5891749565346317,0.08462248095157236,"[0.4233179415871231, 0.7550319714821403]",0.6528728680606298,0.6528728705924148,0.34712712940758517
A3,0.7342080875707023,0.7342080888241024,0.0748445004040139,"[0.5875155635913416, 0.8809006140568632]",0.4609384807314809,0.460938482305259,0.539061517694741
A4,0.3219017949937304,0.3219017952144316,0.10607058033100995,"[0.11400727794638943, 0.5297963124824737]",0.8963792330085815,0.8963792342377261,0.10362076576227386
A5,0.7676145974034235,0.7676145966702612,0.07330619377770127,"[0.6239370970222525, 0.9112920963182699]",0.41076783176341564,0.41076783097875236,0.5892321690212476
C1,0.6622868095528551,0.6622868100300381,0.08023633861596904,"[0.5050264760913784, 0.8195471439686978]",0.561376180451284,0.5613761812602361,0.43862381873976386
C2,0.655213693367428,0.6552136940489992,0.08082317706215272,"[0.4968031778910761, 0.8136242102069223]",0.5706950139433593,0.5706950151306645,0.42930498486933555
C3,0.6481452256743041,0.6481452249921856,0.08141774831486714,"[0.48856937059269934, 0.8077210793916719]",0.579907768540438,0.5799077673198293,0.4200922326801707
C4,0.5637398373029123,0.5637398381530397,0.0889294549684542,"[0.38944130925009296, 0.7380383670559865]",0.6821973928216586,0.6821973948791846,0.3178026051208154
C5,0.44797427412506874,0.4479742743582764,0.09889989315616307,"[0.25413404569733744, 0.6418145030192154]",0.7993190486809523,0.7993190495131757,0.20068095048682433
