,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,2.1244922487895236e-09,0.12519523271573482,-0.06047739639307079,-0.20073573206880635,0.027968120957540536,0.025101070629256005,0.036668572282686794,0.0017733090881062116,0.12075096616704302,0.1286489601765654
A2,0.12519523271573482,-5.8452518381102395e-09,-0.003759356999376017,-0.015654347363482035,-0.013250955045591256,-0.008136816668770301,-0.05225585255928928,0.003669168318132243,0.10115891019574612,-0.04236138313864796
A3,-0.06047739639307079,-0.003759356999376017,5.961191540393431e-09,0.05037466365208575,0.001977541319797882,0.04499120627084131,0.028977721906367538,-0.03860813577976935,0.0013822046205751448,0.11500986323702157
A4,-0.20073573206880635,-0.015654347363482007,0.05037466365208575,2.2878540173465475e-09,-0.0012971230610086537,0.03256132991932535,0.11014933104852109,0.05019594021812769,0.05170532347838506,0.11873102828860212
A5,0.027968120957540536,-0.013250955045591256,0.001977541319797882,-0.0012971230610086537,-1.3907119900125048e-10,-0.046409242429521644,-0.14618094652588803,-0.06441506980769145,0.11469410675582097,0.07518059683328679
C1,0.02510107062925601,-0.008136816668770301,0.04499120627084132,0.032561329919325345,-0.046409242429521644,-7.306736771184309e-09,0.0436734436099328,-0.037313268286037246,-0.03255257126483505,0.04986125698268049
C2,0.0366685722826868,-0.05225585255928928,0.028977721906367538,0.11014933104852109,-0.14618094652588803,0.0436734436099328,-2.2829633739007725e-09,0.06635950845817488,-0.08527053255858433,-0.051358549474390815
C3,0.0017733090881062255,0.003669168318132243,-0.03860813577976935,0.05019594021812769,-0.06441506980769145,-0.037313268286037246,0.06635950845817488,-1.629438362016345e-09,0.010768995157254548,-0.07918676498612713
C4,0.12075096616704303,0.10115891019574609,0.0013822046205751448,0.05170532347838505,0.11469410675582097,-0.03255257126483505,-0.08527053255858433,0.010768995157254548,-3.727332664738014e-09,0.1298231741152112
C5,0.1286489601765654,-0.04236138313864796,0.11500986323702157,0.1187310282886021,0.07518059683328679,0.04986125698268049,-0.051358549474390815,-0.07918676498612713,0.1298231741152112,5.6902978995410105e-09
