item,loading,loading_std,loading_std_se,loading_std_ci95,theta,theta_std,R_squared
A1,0.2984815248254991,0.29848152514256004,0.10696623425998186,"[0.08883155843112114, 0.508131491853999]",0.9109087772133521,0.9109087791485713,0.08909122085142873
A2,0.4783383629955585,0.4783383615975543,0.09377818476750999,"[0.294536496917692, 0.6621402262774165]",0.6063222610870375,0.6063222575429308,0.3936777424570692
A3,0.7291211978593604,0.729121200032576,0.07750905011471962,"[0.5772062533318154, 0.8810361467333365]",0.46838227287093964,0.4683822756630562,0.5316177243369438
A4,0.31377272242872706,0.3137727227876602,0.10608987016829612,"[0.10584039813326954, 0.5217050474420509]",0.9015466763718105,0.9015466784344182,0.09845332156558184
A5,0.8016343791113102,0.801634379055568,0.07552322814729795,"[0.6536115718906623, 0.9496571862204737]",0.35738232236589584,0.3573823223161941,0.642617677683806
C1,0.6571257167047757,0.6571257143040531,0.07934881491932055,"[0.5016048948462503, 0.8126465337618559]",0.5681857997519729,0.5681857956003881,0.43181420439961193
C2,0.6514365774075966,0.6514365766639941,0.07985626232848277,"[0.49492117856018525, 0.807951974767803]",0.5756303878984389,0.5756303865842963,0.4243696134157037
C3,0.6596227673791671,0.65962276684176,0.07912744044062318,"[0.5045358333893004, 0.8147097002942196]",0.5648978063844871,0.5648978054640211,0.43510219453597887
C4,0.5737440545469673,0.5737440534776999,0.087049250735419,"[0.4031306571550818, 0.7443574498003179]",0.6708177635993395,0.6708177610989784,0.3291822389010216
C5,0.4287962140909095,0.42879621531089873,0.0996694106299332,"[0.23344776011589605, 0.6241446705059014]",0.8161338010910045,0.8161338057350493,0.18386619426495066
