,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,0.9999999999999993,0.29095289333371654,0.15715181052658556,-0.1070803714296317,0.26724117278722664,0.07510791157975676,0.0862424734216003,0.0519701739758009,0.16441251669332618,0.16128007403062025
A2,0.29095289333371654,1.0000000000000007,0.4011481967757023,0.15859507214724916,0.4319258090108199,0.27045900375326826,0.22392799342665376,0.28332364139001076,0.344404139419656,0.13943158283682722
A3,0.15715181052658556,0.4011481967757023,0.9999999999999998,0.2791530068849118,0.5864661600626809,0.1671463305999193,0.15007527460112063,0.08401117299352104,0.10803725484095975,0.1947201127563618
A4,-0.1070803714296317,0.15859507214724916,0.2791530068849118,0.9999999999999996,0.25023387846520945,0.08513001950328622,0.16226290133017693,0.10296438865863694,0.09760365364170284,0.15303383291228667
A5,0.26724117278722664,0.4319258090108199,0.5864661600626809,0.25023387846520945,1.0000000000000004,0.08789455717787054,-0.0130398970661211,0.07039907870989819,0.23195630570644776,0.16281825785568554
C1,0.07510791157975676,0.27045900375326826,0.1671463305999193,0.08513001950328622,0.08789455717787054,1.0000000000000013,0.47174917142660583,0.3961418154827855,0.34446940178444474,0.33163427648746385
C2,0.0862424734216003,0.22392799342665376,0.15007527460112063,0.16226290133017693,-0.0130398970661211,0.47174917142660583,0.9999999999999991,0.49606190641978676,0.2884873306434495,0.22797498863832638
C3,0.0519701739758009,0.28332364139001076,0.08401117299352104,0.10296438865863694,0.07039907870989819,0.3961418154827855,0.49606190641978676,0.9999999999999996,0.38922363618486894,0.20365698039422847
C4,0.16441251669332618,0.344404139419656,0.10803725484095975,0.09760365364170284,0.23195630570644776,0.34446940178444474,0.2884873306434495,0.38922363618486894,1.0000000000000002,0.375842452562119
C5,0.16128007403062025,0.13943158283682722,0.1947201127563618,0.15303383291228667,0.16281825785568554,0.33163427648746385,0.22797498863832638,0.20365698039422847,0.375842452562119,0.9999999999999996
