,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,2.053767156340315e-10,0.1252660508611141,-0.060098822688746084,-0.20042245413933624,0.02729093579797726,0.07510791157975674,0.08624247342160037,0.05197017397580093,0.1644125166933262,0.16128007403062034
A2,0.1252660508611141,-1.5030525934989204e-08,-0.0026237679095882367,-0.014886199532903988,-0.014034587890858756,0.27045900375326803,0.2239279934266538,0.28332364139001076,0.3444041394196558,0.13943158283682722
A3,-0.060098822688746084,-0.0026237679095882367,1.341637390073203e-08,0.05168222187223713,0.0017173823685742162,0.1671463305999192,0.15007527460112072,0.08401117299352107,0.10803725484095975,0.19472011275636186
A4,-0.20042245413933624,-0.014886199532903988,0.05168222187223713,-1.8012240587950154e-09,-0.0010043709433543158,0.08513001950328618,0.16226290133017704,0.10296438865863698,0.09760365364170286,0.15303383291228673
A5,0.02729093579797726,-0.014034587890858756,0.0017173823685742162,-0.0010043709433543158,1.4743269272088349e-08,0.08789455717787045,-0.013039897066121103,0.07039907870989819,0.2319563057064477,0.16281825785568554
C1,0.07510791157975674,0.27045900375326803,0.1671463305999192,0.08513001950328618,0.08789455717787045,1.2931201331944903e-08,0.02611079481808031,-0.039869980236605575,-0.014367133070275807,0.048222217199399155
C2,0.08624247342160037,0.2239279934266538,0.15007527460112072,0.16226290133017704,-0.013039897066121103,0.02611079481808031,-9.610518825198264e-09,0.051861203913962685,-0.07708865246551758,-0.06075994255010002
C3,0.05197017397580093,0.28332364139001076,0.08401117299352107,0.10296438865863698,0.07039907870989819,-0.039869980236605575,0.051861203913962685,6.97535984528486e-09,0.031544743984692265,-0.0788407631629232
C4,0.1644125166933262,0.3444041394196558,0.10803725484095975,0.09760365364170286,0.2319563057064477,-0.014367133070275807,-0.07708865246551758,0.031544743984692265,-7.591404616036355e-09,0.14334756963109418
C5,0.16128007403062034,0.13943158283682722,0.19472011275636186,0.15303383291228673,0.16281825785568554,0.048222217199399155,-0.06075994255010002,-0.0788407631629232,0.14334756963109418,1.1843426239721572e-09
