,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,0.9999999997946226,0.16568684247260246,0.2172506332153316,0.09334208270970444,0.2399502369892494,0.0,0.0,0.0,0.0,0.0
A2,0.16568684247260246,1.0000000150305266,0.40377196468529053,0.17348127168015315,0.44596039690167866,0.0,0.0,0.0,0.0,0.0
A3,0.2172506332153316,0.40377196468529053,0.9999999865836259,0.22747078501267468,0.5847487776941067,0.0,0.0,0.0,0.0,0.0
A4,0.09334208270970444,0.17348127168015315,0.22747078501267468,1.0000000018012236,0.25123824940856376,0.0,0.0,0.0,0.0,0.0
A5,0.2399502369892494,0.44596039690167866,0.5847487776941067,0.25123824940856376,0.9999999852567312,0.0,0.0,0.0,0.0,0.0
C1,0.0,0.0,0.0,0.0,0.0,0.9999999870688,0.4456383766085255,0.4360117957193911,0.35883653485472056,0.2834120592880647
C2,0.0,0.0,0.0,0.0,0.0,0.4456383766085255,1.000000009610518,0.4442007025058241,0.36557598310896705,0.28873493118842636
C3,0.0,0.0,0.0,0.0,0.0,0.4360117957193911,0.4442007025058241,0.9999999930246397,0.3576788922001767,0.2824977435571516
C4,0.0,0.0,0.0,0.0,0.0,0.35883653485472056,0.36557598310896705,0.3576788922001767,1.0000000075914048,0.23249488293102485
C5,0.0,0.0,0.0,0.0,0.0,0.2834120592880647,0.28873493118842636,0.2824977435571516,0.23249488293102485,0.9999999988156569
