item,loading,loading_std,loading_std_se,loading_std_ci95,theta,theta_std,R_squared
A1,0.2985770726412732,0.29857707267193373,0.10691873205062771,"[0.08902020858001505, 0.5081339367638524]",0.9108517314875905,0.9108517316746588,0.08914826832534117
A2,0.554921518276347,0.5549215141059657,0.08752849963511865,"[0.38336880720030586, 0.7264742210116255]",0.6920621235844006,0.6920621131823426,0.30793788681765744
A3,0.7276199451400891,0.7276199500210999,0.07759829432936763,"[0.5755300878738007, 0.8797098121683992]",0.4705692020179596,0.4705692083312921,0.5294307916687079
A4,0.31262307545579937,0.3126230751742473,0.10611548507190499,"[0.10464054623131577, 0.5206056041171788]",0.9022668144937811,0.9022668128685968,0.09773318713140322
A5,0.803645889038301,0.8036458949624847,0.07553948756873201,"[0.6555912199171589, 0.9517005700078106]",0.35415327028856997,0.3541532755099469,0.6458467244900531
C1,0.661379593035416,0.661379597311632,0.08108854983239498,"[0.5024489600815564, 0.8203102345417076]",0.5625770209851074,0.5625770282599035,0.4374229717400965
C2,0.6738012199064964,0.6738012166687072,0.08014660896358551,"[0.5167167496170645, 0.8308856837203499]",0.5459919256630352,0.54599192041577,0.45400807958422995
C3,0.6592459161285964,0.6592459184278353,0.08125359781129965,"[0.49999179310338543, 0.8185000437522851]",0.5653948150924074,0.56539481903624,0.43460518096376
C4,0.5425576153746028,0.5425576133152156,0.09127722423846192,"[0.36365754119904375, 0.7214576854313874]",0.7056312415904294,0.7056312362336971,0.29436876376630294
C5,0.42851648625464667,0.4285164865084019,0.10076110880245064,"[0.23102834221327684, 0.626004630803527]",0.8163736198236281,0.8163736207904946,0.18362637920950542
