,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,3.4246394609027696e-10,0.11169246729021373,-0.06623591747458474,-0.20502114844387004,0.033689290673578544,0.0066091198689880015,0.01847523765354389,-0.015065986495217053,0.10610621016737364,0.1149471316928961
A2,0.11169246729021373,5.371725286806846e-11,-0.03142882173481725,-0.031061404018714878,-0.020333488025017988,0.13781517700884552,0.09270078115520923,0.15351211284984956,0.23149745263324079,0.04971060203537708
A3,-0.06623591747458474,-0.03142882173481725,1.2420214856589953e-09,0.04281010484840082,0.02287731303113072,0.0018504884343617791,-0.01345523488305992,-0.0777551636652371,-0.03266289183411375,0.0829131372981609
A4,-0.20502114844387004,-0.031061404018714878,0.04281010484840085,2.1341572953303977e-10,0.0031373611733575,0.01265870085129304,0.09056556456183402,0.03204052525364892,0.035915924352913096,0.10401385249540947
A5,0.033689290673578544,-0.020333488025018043,0.02287731303113072,0.0031373611733574724,-3.9086778258479156e-10,-0.08492225504703473,-0.18401105387395644,-0.09872763531033239,0.08485429449185848,0.045924058763600714
C1,0.0066091198689880015,0.13781517700884552,0.0018504884343617791,0.01265870085129304,-0.08492225504703473,-2.451119307522728e-10,0.03780978363394393,-0.03311621909793448,-0.02888805734109804,0.03494682266421066
C2,0.01847523765354389,0.09270078115520923,-0.01345523488305992,0.09056556456183402,-0.18401105387395647,0.03780978363394393,-2.7128899127149023e-10,0.07138827775794047,-0.08088273160752438,-0.06554389148381633
C3,-0.015065986495217053,0.15351211284984953,-0.0777551636652371,0.03204052525364891,-0.09872763531033242,-0.03311621909793448,0.07138827775794047,-6.659162110622677e-11,0.023838351015573526,-0.08669540783784889
C4,0.10610621016737364,0.23149745263324079,-0.03266289183411378,0.035915924352913096,0.08485429449185848,-0.02888805734109804,-0.08088273160752443,0.023838351015573526,-1.3781642493881915e-11,0.12330150705076266
C5,0.1149471316928961,0.04971060203537707,0.0829131372981609,0.10401385249540947,0.0459240587636007,0.03494682266421066,-0.06554389148381627,-0.08669540783784883,0.12330150705076266,-9.284351065730339e-12
