,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,0.9999999996575354,0.1792604260435028,0.22338772800117027,0.09794077701423824,0.2335518821136481,0.06849879171076875,0.06776723576805642,0.06703616047101794,0.058306306525952575,0.04633294233772422
A2,0.1792604260435028,0.9999999999462834,0.43257701851051955,0.18965647616596404,0.4522592970358379,0.13264382674442263,0.13122721227144454,0.1298115285401612,0.11290668678641506,0.08972098080145013
A3,0.22338772800117027,0.43257701851051955,0.9999999987579783,0.23634290203651098,0.5635888470315502,0.1652958421655575,0.16353050948418055,0.16176633665875811,0.1407001466750735,0.11180697545820094
A4,0.09794077701423824,0.18965647616596404,0.23634290203651095,0.9999999997865838,0.24709651729185195,0.07247131865199317,0.07169733676834296,0.07092386340498803,0.06168772928878975,0.04901998041687724
A5,0.2335518821136481,0.45225929703583795,0.5635888470315502,0.24709651729185197,1.0000000003908682,0.17281681222490533,0.1709711568078353,0.16912671402023058,0.14710201121458927,0.11689419909208483
C1,0.06849879171076875,0.13264382674442263,0.1652958421655575,0.07247131865199317,0.17281681222490533,1.0000000002451133,0.4339393877926619,0.42925803458072,0.3733574591255428,0.2966874538232532
C2,0.06776723576805642,0.13122721227144454,0.16353050948418055,0.07169733676834296,0.17097115680783534,0.4339393877926619,1.000000000271288,0.4246736286618463,0.36937006225097385,0.29351888012214267
C3,0.06703616047101794,0.12981152854016123,0.16176633665875811,0.07092386340498805,0.1691267140202306,0.42925803458072,0.4246736286618463,1.0000000000665912,0.3653852851692954,0.2903523882320773
C4,0.058306306525952575,0.11290668678641506,0.14070014667507352,0.06168772928878975,0.14710201121458927,0.3733574591255428,0.3693700622509739,0.3653852851692954,1.0000000000137819,0.25254094551135636
C5,0.04633294233772422,0.08972098080145015,0.11180697545820094,0.049019980416877246,0.11689419909208484,0.2966874538232532,0.2935188801221426,0.29035238823207726,0.25254094551135636,1.000000000009284
