,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,-1.0195799760026609e-10,0.1116924664304558,-0.06623591855053132,-0.20502114891590772,0.03368928955139187,0.006609118347911972,0.018475236149193025,-0.015065987990587006,0.10610620887188804,0.11494713066242579
A2,0.1116924664304558,-1.6198795638189257e-09,-0.03142882380820627,-0.03106140492835191,-0.02033349018748797,0.1378151740664748,0.0927007782451927,0.1535121099571909,0.23149745012725087,0.04971060004203119
A3,-0.06623591855053132,-0.03142882380820627,-1.3504157791999207e-09,0.04281010371003301,0.022877310324866285,0.001850484764322701,-0.013455238512744501,-0.07775516727325502,-0.03266289495985045,0.08291313481185052
A4,-0.20502114891590772,-0.031061404928351882,0.042810103710033034,-2.8275870533889257e-10,0.0031373599860668733,0.012658699241996594,0.09056556297023279,0.0320405236715495,0.03591592298229103,0.10401385140517323
A5,0.03368928955139187,-0.020333490187487913,0.022877310324866396,0.0031373599860668733,-3.161374717564057e-09,-0.08492225888205145,-0.184011057666804,-0.09872763908054889,0.08485429122561096,0.0459240561655222
C1,0.006609118347911972,0.1378151740664748,0.001850484764322701,0.012658699241996594,-0.08492225888205145,-3.9159675502276007e-10,0.037809783524506584,-0.03311621925260343,-0.02888805744265891,0.034946822576997646
C2,0.018475236149193025,0.0927007782451927,-0.013455238512744501,0.09056556297023279,-0.184011057666804,0.037809783524506584,-3.874067733278256e-10,0.07138827760793336,-0.0808827317053826,-0.06554389156801747
C3,-0.015065987990587006,0.15351210995719086,-0.07775516727325499,0.0320405236715495,-0.09872763908054892,-0.03311621925260343,0.07138827760793336,-2.2004931210517508e-10,0.02383835087926484,-0.08669540795253515
C4,0.10610620887188804,0.23149745012725087,-0.03266289495985045,0.035915922982291036,0.08485429122561096,-0.02888805744265891,-0.0808827317053826,0.023838350879264895,-1.1155942836182928e-10,0.12330150697331001
C5,0.11494713066242579,0.04971060004203119,0.08291313481185052,0.10401385140517323,0.0459240561655222,0.034946822576997646,-0.06554389156801747,-0.08669540795253515,0.12330150697331001,-7.11009029430443e-11
