,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,1.0000000001019573,0.17926042690326074,0.22338772907711685,0.09794077748627592,0.23355188323583478,0.06849879323184478,0.06776723727240729,0.0670361619663879,0.058306307821438176,0.04633294336819453
A2,0.17926042690326074,1.0000000016198802,0.43257702058390857,0.18965647707560107,0.4522592991983079,0.13264382968679334,0.13122721518146108,0.12981153143281987,0.11290668929240498,0.08972098279479603
A3,0.22338772907711685,0.43257702058390857,1.0000000013504156,0.2363429031748788,0.5635888497378146,0.1652958458355966,0.16353051311386513,0.16176634026677603,0.1407001498008102,0.11180697794451132
A4,0.09794077748627592,0.18965647707560104,0.23634290317487877,1.0000000002827583,0.24709651847914257,0.07247132026128962,0.0716973383599442,0.07092386498708746,0.06168773065941182,0.04901998150711348
A5,0.23355188323583478,0.4522592991983078,0.5635888497378145,0.24709651847914257,1.0000000031613752,0.17281681605992205,0.17097116060068288,0.16912671779044708,0.1471020144808368,0.11689420169016335
C1,0.06849879323184478,0.13264382968679334,0.1652958458355966,0.07247132026128962,0.17281681605992205,1.000000000391598,0.43393938790209924,0.4292580347353889,0.37335745922710367,0.2966874539104662
C2,0.06776723727240729,0.13122721518146108,0.16353051311386513,0.0716973383599442,0.17097116060068288,0.43393938790209924,1.0000000003874059,0.42467362881185344,0.3693700623488321,0.2935188802063438
C3,0.0670361619663879,0.1298115314328199,0.161766340266776,0.07092386498708746,0.1691267177904471,0.4292580347353889,0.42467362881185344,1.0000000002200489,0.3653852853056041,0.2903523883467636
C4,0.058306307821438176,0.11290668929240498,0.1407001498008102,0.06168773065941181,0.1471020144808368,0.37335745922710367,0.3693700623488321,0.36538528530560405,1.0000000001115597,0.252540945588809
C5,0.04633294336819453,0.08972098279479603,0.11180697794451132,0.04901998150711347,0.11689420169016335,0.2966874539104662,0.2935188802063438,0.2903523883467636,0.252540945588809,1.0000000000711005
