item,loading,loading_std,theta,R2_item
A1,1.0,0.30425669765775576,0.907427862022916,0.09257213806960285
A2,1.9364403871735336,0.5891749569653643,0.6528728711424371,0.3471271299151387
A3,2.413120553469127,0.7342080901902585,0.46093848092163187,0.5390615197008266
A4,1.0579941170058165,0.32190179615242287,0.8963792338873027,0.10362076636615591
A5,2.5229176735274264,0.7676145986356158,0.41076782926007377,0.5892321720385174
C1,1.0,0.6622868100027691,0.5613761815161898,0.438623818703644
C2,0.9893201628098551,0.6552136947001326,0.5706950144984922,0.42930498572259834
C3,0.9786473425815491,0.6481452266916156,0.5799077652444823,0.42009223488312575
C4,0.8512019711659947,0.5637398382305301,0.6821973948679216,0.31780260520818404
C5,0.6764052501096407,0.4479742754360264,0.7993190486043991,0.20068095145243292
