direction,quantity,estimate,se_delta,wald_lower,wald_upper
forward,path,0.7399504155603909,0.4008400290677699,-0.045681604974426526,1.5255824360952084
forward,exogenous_variance,0.09257213763288742,0.0689247825862906,-0.04251795387849565,0.22766222914427048
forward,disturbance_variance,0.3879381093699126,0.12749255871805032,0.13805728598567588,0.6378189327541492
forward,endogenous_variance,0.43862381876168055,0.1407249342852793,0.16280801583576726,0.7144396216875939
forward,path_std,0.33993560784036764,0.12333794349017815,0.09819768067238205,0.5816735350083533
forward,R2,0.11555621747780022,0.08385391757825372,-0.04879444093816722,0.27990687589376767
reverse,path,0.15616751823343633,0.08497491745005481,-0.010380259557935256,0.3227152960248079
reverse,exogenous_variance,0.4386238188754082,0.1407249342558233,0.1628080160072276,0.7144396217435888
reverse,disturbance_variance,0.08187485153803889,0.0612007936886341,-0.03807649991695018,0.20182620299302795
reverse,endogenous_variance,0.0925721380790414,0.06892478271127424,-0.042517953677305084,0.22766222983538786
reverse,path_std,0.3399356145257031,0.12333794296344823,0.09819768839008919,0.5816735406613169
reverse,R2,0.1155562220229674,0.08385391882439835,-0.04879443883539865,0.2799068828813335
zero,path,0.0,0.0,0.0,0.0
zero,exogenous_variance,0.08914826303309874,0.06740643278221778,-0.04296591754636815,0.22126244361256564
zero,disturbance_variance,0.4374229572130515,0.14133713468251874,0.16040726355722784,0.7144386508688751
zero,endogenous_variance,0.4374229572130515,0.14133713468251874,0.16040726355722784,0.7144386508688751
zero,path_std,0.0,0.0,0.0,0.0
zero,R2,0.0,0.0,0.0,0.0
