,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,2.7891343679087316e-09,0.1252660538141807,-0.06009882419364679,-0.20042245105201284,0.027290948130905632,0.07510791157975674,0.08624247342160037,0.05197017397580093,0.1644125166933262,0.16128007403062034
A2,0.1252660538141807,-1.013874184607743e-08,-0.0026237873968226184,-0.014886200965959717,-0.014034583403642546,0.27045900375326803,0.2239279934266538,0.28332364139001076,0.3444041394196558,0.13943158283682722
A3,-0.06009882419364679,-0.0026237873968226184,3.7034690869575124e-09,0.051682214363247644,0.0017173737796141175,0.1671463305999192,0.15007527460112072,0.08401117299352107,0.10803725484095975,0.19472011275636186
A4,-0.20042245105201284,-0.014886200965959717,0.05168221436324767,1.227553392268988e-09,-0.0010043645834842407,0.08513001950328618,0.16226290133017704,0.10296438865863698,0.09760365364170286,0.15303383291228673
A5,0.027290948130905632,-0.014034583403642546,0.0017173737796141175,-0.0010043645834842407,1.770959157099127e-09,0.08789455717787045,-0.013039897066121103,0.07039907870989819,0.2319563057064477,0.16281825785568554
C1,0.07510791157975674,0.27045900375326803,0.1671463305999192,0.08513001950328618,0.08789455717787045,9.058853667198707e-09,0.026110801752790173,-0.039869979803280976,-0.014367127020653892,0.04822222057503076
C2,0.08624247342160037,0.2239279934266538,0.15007527460112072,0.16226290133017704,-0.013039897066121103,0.026110801752790173,6.74145739232302e-10,0.051861202259674534,-0.07708864802707291,-0.06075994047332876
C3,0.05197017397580093,0.28332364139001076,0.08401117299352107,0.10296438865863698,0.07039907870989819,-0.039869979803280976,0.05186120225967459,1.7808245988959478e-09,0.031544743116786685,-0.07884076524628773
C4,0.1644125166933262,0.3444041394196558,0.10803725484095975,0.09760365364170286,0.2319563057064477,-0.014367127020653892,-0.07708864802707291,0.031544743116786685,-5.087896770561428e-10,0.14334757160505798
C5,0.16128007403062034,0.13943158283682722,0.19472011275636186,0.15303383291228673,0.16281825785568554,0.04822222057503076,-0.06075994047332871,-0.07884076524628768,0.14334757160505798,2.301517865177517e-10
