,A1,A2,A3,A4,A5,C1,C2,C3,C4,C5
A1,0.999999997210865,0.16568683951953583,0.21725063472023232,0.09334207962238104,0.23995022465632102,0.0,0.0,0.0,0.0,0.0
A2,0.16568683951953583,1.0000000101387425,0.4037719841725249,0.17348127311320888,0.44596039241446245,0.0,0.0,0.0,0.0,0.0
A3,0.21725063472023232,0.4037719841725249,0.9999999962965307,0.22747079252166416,0.5847487862830668,0.0,0.0,0.0,0.0,0.0
A4,0.09334207962238104,0.17348127311320888,0.22747079252166413,0.9999999987724462,0.2512382430486937,0.0,0.0,0.0,0.0,0.0
A5,0.23995022465632102,0.44596039241446245,0.5847487862830668,0.2512382430486937,0.9999999982290413,0.0,0.0,0.0,0.0,0.0
C1,0.0,0.0,0.0,0.0,0.0,0.9999999909411477,0.44563836967381565,0.4360117952860665,0.35883652880509864,0.28341205591243307
C2,0.0,0.0,0.0,0.0,0.0,0.44563836967381565,0.9999999993258534,0.44420070416011226,0.3655759786705224,0.2887349291116551
C3,0.0,0.0,0.0,0.0,0.0,0.4360117952860665,0.4442007041601122,0.999999998219175,0.35767889306808226,0.28249774564051616
C4,0.0,0.0,0.0,0.0,0.0,0.35883652880509864,0.3655759786705224,0.35767889306808226,1.00000000050879,0.23249488095706106
C5,0.0,0.0,0.0,0.0,0.0,0.28341205591243307,0.28873492911165505,0.2824977456405161,0.23249488095706106,0.9999999997698478
