excluded_source_row,difference_at_1,slope_difference
1,4.122120879120873,-3.5994945054945067
2,4.459043956043951,-4.048725274725276
3,4.265197802197797,-3.7902637362637375
4,4.195967032967028,-3.6979560439560455
5,4.223659340659335,-3.734879120879123
6,4.389813186813182,-3.9564175824175845
7,4.4451978021977965,-4.030263736263738
8,4.4451978021977965,-4.030263736263738
9,4.1682747252747205,-3.6610329670329698
10,4.251351648351643,-3.7718021978021987
11,4.405873015873015,-3.9263492063492063
12,4.405873015873015,-3.9263492063492063
13,4.357724867724866,-3.9070899470899487
14,4.435502645502644,-3.9382010582010576
15,4.628095238095238,-4.015238095238095
16,4.435502645502646,-3.9382010582010576
17,4.298465608465608,-3.8833862433862443
18,4.331798941798942,-3.896719576719578
19,4.491058201058201,-3.9604232804232815
20,4.368835978835978,-3.911534391534394
21,4.276861642294705,-4.150461192350954
22,4.156389201349823,-4.552035995500561
23,4.520168728908879,-3.339437570303711
24,4.321743532058485,-4.000854893138356
25,4.343003374578171,-3.9299887514060723
26,4.487097862767147,-3.449673790776152
27,4.350089988751399,-3.906366704161978
28,4.227255343082106,-4.315815523059617
29,4.269775028121477,-4.174083239595048
30,4.416231721034863,-3.6858942632170963
31,4.362516483516508,-3.9200219780219765
32,4.071747252747278,-3.53232967032967
33,4.251747252747277,-3.77232967032967
34,4.616362637362663,-4.2584835164835155
35,4.3948241758242,-3.963098901098901
36,4.602516483516508,-4.240021978021977
37,4.685593406593432,-4.3507912087912075
38,4.6302087912088155,-4.276945054945054
39,4.3025164835165075,-3.8400219780219764
40,4.616362637362663,-4.2584835164835155
41,4.338174603174613,-3.899269841269839
42,4.20484126984128,-3.845936507936508
43,4.193730158730169,-3.841492063492063
44,4.090026455026465,-3.8000105820105814
45,4.327063492063502,-3.8948253968253956
46,4.13447089947091,-3.8177883597883584
47,4.1122486772486875,-3.80889947089947
48,4.2826190476190575,-3.877047619047617
49,4.530767195767206,-3.9763068783068762
50,4.056693121693131,-3.7866772486772478
51,4.390230596175492,-3.7725646794150807
52,4.368970753655807,-3.843430821147366
53,4.463458942632185,-3.5284701912261047
54,4.413852643419586,-3.693824521934766
55,4.406766029246358,-3.717446569178862
56,4.262671541057382,-4.1977615298087825
57,4.368970753655807,-3.843430821147366
58,4.347710911136122,-3.91429696287965
59,4.298104611923524,-4.079651293588311
60,4.449285714285728,-3.5757142857142963
