model,dose,group,estimate,se,df,t,p_raw,p_adjusted,ci95,family_size
additive,0.5,VC,10.454285714285717,0.9693767814593611,57,10.784543135587768,2.1947481018034555e-15,2.1947481018034555e-15,"[8.51314219237466, 12.395429236196774]",1
additive,0.5,OJ,14.15428571428572,0.969376781459361,57,14.601428448674998,6.470267917389974e-21,6.470267917389974e-21,"[12.213142192374663, 16.09542923619678]",1
additive,1.0,VC,15.33607142857143,0.7869828603386998,57,19.487173357207713,7.033391134450607e-27,7.033391134450607e-27,"[13.760165433689144, 16.911977423453713]",1
additive,1.0,OJ,19.036071428571432,0.7869828603386996,57,24.18867346155257,1.168108474199232e-31,1.168108474199232e-31,"[17.46016543368915, 20.611977423453716]",1
additive,2.0,VC,25.099642857142854,1.0639083313950912,57,23.591922458422683,4.272159672180576e-31,4.272159672180576e-31,"[22.969203171672255, 27.230082542613452]",1
additive,2.0,OJ,28.799642857142857,1.0639083313950912,57,27.069665691383584,3.1732857818976676e-34,3.1732857818976676e-34,"[26.669203171672258, 30.930082542613455]",1
interaction,0.5,VC,9.152857142857146,1.0912657230390244,56,8.387377106803742,1.789085498459544e-11,1.789085498459544e-11,"[6.966789211382408, 11.338925074331883]",1
interaction,0.5,OJ,15.455714285714302,1.0912657230390248,56,14.163107994148543,3.6956038752083143e-20,3.6956038752083143e-20,"[13.269646354239564, 17.64178221718904]",1
interaction,1.0,VC,15.01071428571429,0.7716413928373348,56,19.452966656596416,1.388744891438754e-26,1.388744891438754e-26,"[13.464930827234054, 16.556497744194527]",1
interaction,1.0,OJ,19.361428571428586,0.7716413928373355,56,25.09122599065916,3.833262480873569e-32,3.833262480873569e-32,"[17.81564511294835, 20.907212029908823]",1
interaction,2.0,VC,26.726428571428578,1.2442343596621381,56,21.480220638406035,1.0280286274445847e-28,1.0280286274445847e-28,"[24.233927638363774, 29.21892950449338]",1
interaction,2.0,OJ,27.172857142857154,1.2442343596621375,56,21.839018454879948,4.4807342011534434e-29,4.4807342011534434e-29,"[24.680356209792354, 29.665358075921954]",1
cells,0.5,VC,7.979999999999999,1.1483530880416588,54,6.9490821970171845,4.984199391633443e-09,4.984199391633443e-09,"[5.6776906782584815, 10.282309321741515]",1
cells,0.5,OJ,13.23,1.1483530880416588,54,11.520846800317965,3.602547609087949e-16,3.602547609087949e-16,"[10.927690678258482, 15.532309321741518]",1
cells,1.0,VC,16.770000000000003,1.1483530880416588,54,14.60352236140078,2.1285815144857825e-20,2.1285815144857825e-20,"[14.467690678258485, 19.07230932174152]",1
cells,1.0,OJ,22.7,1.1483530880416588,54,19.767439332367182,2.16886515411198e-26,2.16886515411198e-26,"[20.39769067825848, 25.002309321741517]",1
cells,2.0,VC,26.14,1.1483530880416588,54,22.76303366291093,2.3779477414436044e-29,2.3779477414436044e-29,"[23.837690678258483, 28.44230932174152]",1
cells,2.0,OJ,26.060000000000002,1.1483530880416588,54,22.693368678479683,2.763143536183195e-29,2.763143536183195e-29,"[23.757690678258484, 28.36230932174152]",1
