model,dose,covariance,estimate,se,df,t,p_raw,p_adjusted,ci95,family_size
additive,0.5,OLS,3.700000000000001,1.0936044998101522,57,3.3833072199705785,0.0013006624739974769,0.0013006624739974769,"[1.5100947630049526, 5.88990523699505]",1
additive,0.5,HC3,3.700000000000001,1.1222977968041516,57,3.296807683785978,0.0016868692003029328,0.0016868692003029328,"[1.4526374268612905, 5.947362573138712]",1
additive,1.0,OLS,3.700000000000001,1.0936044998101522,57,3.3833072199705785,0.0013006624739974769,0.0013006624739974769,"[1.5100947630049526, 5.88990523699505]",1
additive,1.0,HC3,3.700000000000001,1.1222977968041516,57,3.296807683785978,0.0016868692003029328,0.0016868692003029328,"[1.4526374268612905, 5.947362573138712]",1
additive,2.0,OLS,3.700000000000001,1.0936044998101522,57,3.3833072199705785,0.0013006624739974769,0.0013006624739974769,"[1.5100947630049526, 5.88990523699505]",1
additive,2.0,HC3,3.700000000000001,1.1222977968041516,57,3.296807683785978,0.0016868692003029328,0.0016868692003029328,"[1.4526374268612905, 5.947362573138712]",1
interaction,0.5,OLS,6.302857142857155,1.5432827856746705,56,4.084058476750106,0.00014220428923554886,0.0004266128677066466,"[2.4939996260160022, 10.111714659698308]",3
interaction,0.5,HC3,6.302857142857155,1.6038043363170604,56,3.9299414524161294,0.00023590064399421238,0.0007077019319826371,"[2.34463104286656, 10.26108324284775]",3
interaction,1.0,OLS,4.350714285714296,1.0912657230390246,56,3.986851409204127,0.0001958899237522322,0.0005876697712566966,"[1.6574453069825625, 7.0439832644460285]",3
interaction,1.0,HC3,4.350714285714296,1.1326451869514707,56,3.8411978754125995,0.0003144130637175677,0.0009432391911527032,"[1.555319835469008, 7.146108735959583]",3
interaction,2.0,OLS,0.4464285714285765,1.7596131062047984,56,0.25370836910362127,0.8006500537571221,1.0,"[-3.8963371669778297, 4.789194309834983]",3
interaction,2.0,HC3,0.4464285714285765,1.8002997229896929,56,0.24797458208081521,0.805061113554175,1.0,"[-3.9967526757973832, 4.889609818654536]",3
cells,0.5,OLS,5.250000000000002,1.6240165115015388,54,3.232725752982609,0.002092469828790163,0.0062774094863704884,"[1.2373018688766688, 9.262698131123335]",3
cells,0.5,HC3,5.250000000000002,1.7458840485871654,54,3.0070725511516634,0.0039985178544892095,0.01199555356346763,"[0.936185694967846, 9.563814305032157]",3
cells,1.0,OLS,5.929999999999996,1.6240165115015388,54,3.6514407076546385,0.0005897006669282946,0.0017691020007848837,"[1.9173018688766632, 9.94269813112333]",3
cells,1.0,HC3,5.929999999999996,1.5499940262728376,54,3.825821196394836,0.0003402435991403809,0.0010207307974211426,"[2.100200186741477, 9.759799813258516]",3
cells,2.0,OLS,-0.0799999999999983,1.6240165115015388,54,-0.04926058290259107,0.9608933840813819,1.0,"[-4.092698131123331, 3.9326981311233347]",3
cells,2.0,HC3,-0.0799999999999983,1.827796352489204,54,-0.04376855216449548,0.9652503428164294,1.0,"[-4.596207166469145, 4.436207166469148]",3
