kaynak_satir,len,supp,dose,tahmin,artik,kaldirac,cook
1,4.2,VC,0.5,9.152857142857146,-4.9528571428571455,0.07142857142857141,0.030472204843954527
2,11.5,VC,0.5,9.152857142857146,2.3471428571428543,0.07142857142857145,0.0068433905018347166
3,7.3,VC,0.5,9.152857142857146,-1.8528571428571459,0.07142857142857144,0.004264578842830867
4,5.8,VC,0.5,9.152857142857146,-3.352857142857146,0.07142857142857148,0.013964403043295522
5,6.4,VC,0.5,9.152857142857146,-2.7528571428571453,0.07142857142857148,0.00941368420325316
6,10.0,VC,0.5,9.152857142857146,0.8471428571428543,0.07142857142857148,0.0008914676389810172
7,11.2,VC,0.5,9.152857142857146,2.0471428571428536,0.07142857142857148,0.005205813156026309
8,11.2,VC,0.5,9.152857142857146,2.0471428571428536,0.07142857142857148,0.005205813156026309
9,5.2,VC,0.5,9.152857142857146,-3.9528571428571455,0.07142857142857148,0.019409507429813216
10,7.0,VC,0.5,9.152857142857146,-2.1528571428571457,0.07142857142857148,0.005757350909686133
11,16.5,VC,1.0,15.01071428571429,1.4892857142857103,0.03571428571428573,0.0012774311291165487
12,16.5,VC,1.0,15.01071428571429,1.4892857142857103,0.03571428571428573,0.0012774311291165487
13,15.2,VC,1.0,15.01071428571429,0.18928571428570962,0.03571428571428573,2.063560111156098e-05
14,17.3,VC,1.0,15.01071428571429,2.289285714285711,0.03571428571428573,0.0030184323319044793
15,22.5,VC,1.0,15.01071428571429,7.48928571428571,0.03571428571428573,0.03230444216745912
16,17.3,VC,1.0,15.01071428571429,2.289285714285711,0.03571428571428573,0.0030184323319044793
17,13.6,VC,1.0,15.01071428571429,-1.41071428571429,0.03571428571428573,0.0011461978153903458
18,14.5,VC,1.0,15.01071428571429,-0.5107142857142897,0.03571428571428573,0.0001502233560449761
19,18.8,VC,1.0,15.01071428571429,3.789285714285711,0.03571428571428573,0.00826982182944416
20,15.5,VC,1.0,15.01071428571429,0.4892857142857103,0.03571428571428573,0.00013788166509893233
21,23.6,VC,2.0,26.726428571428578,-3.126428571428576,0.09285714285714287,0.01653910151004424
22,18.5,VC,2.0,26.726428571428578,-8.226428571428578,0.09285714285714287,0.11450845451526663
23,33.9,VC,2.0,26.726428571428578,7.173571428571421,0.09285714285714287,0.08707344851377427
24,25.5,VC,2.0,26.726428571428578,-1.2264285714285776,0.09285714285714287,0.0025450681134700135
25,26.4,VC,2.0,26.726428571428578,-0.32642857142857906,0.09285714285714287,0.00018029812886589188
26,32.5,VC,2.0,26.726428571428578,5.773571428571422,0.09285714285714287,0.05640323025899173
27,26.7,VC,2.0,26.726428571428578,-0.02642857142857835,0.09285714285714287,1.181849749903154e-06
28,21.5,VC,2.0,26.726428571428578,-5.226428571428578,0.09285714285714287,0.04621946664339644
29,23.3,VC,2.0,26.726428571428578,-3.426428571428577,0.09285714285714287,0.019865443098323627
30,29.5,VC,2.0,26.726428571428578,2.7735714285714224,0.09285714285714287,0.013016481354096505
31,15.2,OJ,0.5,15.4557142857143,-0.2557142857143013,0.07142857142857145,8.122734493939818e-05
32,21.5,OJ,0.5,15.4557142857143,6.044285714285699,0.07142857142857145,0.04538185527391484
33,17.6,OJ,0.5,15.4557142857143,2.144285714285701,0.07142857142857145,0.0057115973089411805
34,9.7,OJ,0.5,15.4557142857143,-5.755714285714301,0.07142857142857145,0.04115197950292599
35,14.5,OJ,0.5,15.4557142857143,-0.9557142857143006,0.07142857142857145,0.0011346147663437063
36,10.0,OJ,0.5,15.4557142857143,-5.455714285714301,0.07142857142857145,0.03697392130724833
37,8.2,OJ,0.5,15.4557142857143,-7.255714285714301,0.07142857142857145,0.06539621628059672
38,9.4,OJ,0.5,15.4557142857143,-6.0557142857143,0.07142857142857145,0.04555363408522245
39,16.5,OJ,0.5,15.4557142857143,1.0442857142856994,0.07142857142857145,0.001354662003968516
40,9.7,OJ,0.5,15.4557142857143,-5.755714285714301,0.07142857142857145,0.04115197950292599
41,19.7,OJ,1.0,19.361428571428586,0.338571428571413,0.035714285714285726,6.602099416647741e-05
42,23.3,OJ,1.0,19.361428571428586,3.9385714285714144,0.035714285714285726,0.008934266440352357
43,23.6,OJ,1.0,19.361428571428586,4.238571428571415,0.035714285714285726,0.010347143219854922
